step,lambda,psi,risk,distance,gradient,steer,drift,barrier,potential,state
0,0.5441613084942978,0.22959185028152432,9.16600371985333e-06,1.1599912922964664,-0.34092032892352186,0.02727362631388175,0.00999992667197024,1.769174543857337e-80,1.0081844362773327,NEXIT
1,0.5931565554389653,0.3973769885109968,1.304999793897273e-05,1.1546882454826424,-0.33842552111651436,0.02707404168932115,0.009999895600016488,2.1948611565361968e-75,0.9931840966407487,NEXIT
2,0.6456225045817339,0.5203870856827721,1.9312328781981133e-05,1.1488028666349814,-0.33568113838644553,0.026854491070915643,0.009999845501369745,6.228389143120189e-70,0.9766702051633174,NEXIT
3,0.7007164932703835,0.615721435601918,2.938432032697692e-05,1.1424973843458814,-0.3327822586894347,0.026622580695154774,0.009999764925437384,2.5259985338421808e-64,0.9591346389721019,NEXIT
4,0.7580442570839484,0.6981253012630395,4.565882213153155e-05,1.135870644926529,-0.32980462557813395,0.026384370046250716,0.009999634729422948,1.0815369685203298e-58,0.9408827419659973,NEXIT
5,0.8175190399366361,0.7776676767985683,7.222544347959615e-05,1.1289660749786208,-0.32681662940348133,0.026145330352278506,0.009999422196452164,4.1122943914016006e-53,0.922062087387228,NEXIT
6,0.8791727012741507,0.8580822056911048,0.00011622717063316015,1.1217872993955023,-0.32390156230183154,0.025912124984146523,0.009999070182634935,1.263027630821047e-47,0.9027125784288377,NEXIT
7,0.9429501447497105,0.9361163571635311,0.00019031904174274776,1.1143184727574464,-0.3211934414123485,0.02569547531298788,0.009998477447666057,2.9203841022538475e-42,0.8828283855353151,NEXIT
8,1.0085310682275934,1.0022994270376586,0.00031696605928970597,1.1065448648737095,-0.31893095494034407,0.025514476395227526,0.009997464271525683,4.643229275444759e-37,0.8624192852433648,NEXIT
9,1.0752385868001682,1.0436366472093723,0.0005355120801483503,1.098467535336548,-0.31753379066168375,0.0254027032529347,0.009995715903358814,4.4345772986014656e-32,0.8415558008510629,NEXIT
10,1.142093783098263,1.0482155791212735,0.0009127901845195753,1.0901042189086865,-0.31770039057416044,0.025416031245932835,0.009992697678523843,2.1339578720542105e-27,0.820379612313919,NEXIT
11,1.2080320990311924,1.0103198459124856,0.001557289858201914,1.0814693206629167,-0.32051473593025515,0.02564117887442041,0.009987541681134384,4.306138595094966e-23,0.799064295735173,NEXIT
12,1.2722181830275678,0.9334634300577694,0.0026362891437190904,1.0725316734297239,-0.32754089259739994,0.026203271407791995,0.009978909686850248,3.1599108599908354e-19,0.777727657990144,NEXIT
13,1.3343408122747036,0.8295235896932622,0.004397751086538869,1.0631559545044802,-0.34090129456287865,0.027272103565030292,0.00996481799130769,7.939770133413897e-16,0.7563182001751401,NEXIT
14,1.3947963876850493,0.7147162614000853,0.00720840184973675,1.0530311207697858,-0.3633969347892618,0.029071754783140946,0.009942332785202106,7.077155484514762e-13,0.7345014670841725,NEXIT
15,1.4547579423525403,0.6050054586901895,0.011639662497325357,1.041566754105335,-0.39880635258454644,0.031904508206763715,0.009906882700021397,2.505588663559265e-10,0.7115421118733283,NEXIT
16,1.5161980387945138,0.513021326515806,0.018670996266760644,1.0276916004642727,-0.4524853077079172,0.036198824616633374,0.009850632029865915,4.107267516178673e-08,0.6861262078333815,NEXIT
17,1.581897922146588,0.44673213878276563,0.030165817760202447,1.0093987084724663,-0.53174057163341,0.0425392457306728,0.009758673457918381,3.6213296549052217e-06,0.656023269171184,NEXIT
18,1.6537568028519045,0.40862457417032944,0.04998206497419452,0.9826892876169246,-0.6346283812793119,0.05,0.009600143480206444,0.00018892380429857356,0.6176867430621465,NEXIT
19,1.720205475255247,0.3932070261117214,0.08549339434711178,0.9403304590280154,-0.5667051096845954,0.045336408774767634,0.009316052845223107,0.005313876864536508,0.5716551893128968,NEXIT
20,1.709937996954233,0.38480350984189454,0.13724581815617184,0.8831918157210072,0.38392021313776725,-0.03071361705102138,0.008902033454750626,0.046376786935661225,0.5589329035071593,NEXIT
21,1.7173665783502072,0.3781777730374385,0.12780626337028705,0.8933914901637194,0.1611787711023327,-0.012894301688186616,0.008977549893037704,0.03515350919566272,0.5561517996651573,NEXIT
22,1.7118342781588645,0.3725899555488298,0.13457868941938853,0.8860662556495561,0.320417116780658,-0.02563336934245264,0.008923370484644892,0.04304725492399944,0.557933502975836,NEXIT
23,1.7157822567862908,0.368141448796329,0.12950688832013466,0.8915483427168084,0.20075262162377872,-0.016060209729902297,0.008963944893438922,0.03705799984486845,0.5564947660769233,NEXIT
24,1.712805231891937,0.3644093807167516,0.13310934165505992,0.8876522546133383,0.2855553947826994,-0.022844431582615954,0.008935125266759521,0.04126524657889741,0.5574535801702339,NEXIT
25,1.7148993232371967,0.3614176927498836,0.13038509387155778,0.8905975329949878,0.22131698357830132,-0.017705358686264105,0.008956919249027537,0.03806215488010782,0.5566996209142042,NEXIT
26,1.71330259545135,0.35891948830720105,0.13229638940697272,0.8885305112749124,0.2663242664975862,-0.021305941319806898,0.008941628884744219,0.04029557380121957,0.5572099818462646,NEXIT
27,1.7144089415630395,0.35690667563411677,0.13083690556453217,0.8901086282595325,0.2319269864102247,-0.018554158912817975,0.008953304755483742,0.038584200408202825,0.5568123153097098,NEXIT
28,1.7135545736538333,0.35523237255106943,0.13184669547057895,0.8890165663153854,0.2557070690246688,-0.020456565521973502,0.008945226436235368,0.0397642157086271,0.5570820021779084,NEXIT
29,1.7141366638796862,0.35387819705499646,0.1310663130915884,0.8898604537245312,0.23732156476330424,-0.01898572518106434,0.008951469495267293,0.038850676150113235,0.5568714267432024,NEXIT
30,1.7136799692464013,0.3527552737442612,0.1315975692700071,0.8892859095279311,0.24983215364315914,-0.01998657229145273,0.008947219445839944,0.0394713979737436,0.557013187863314,NEXIT
31,1.7139849823258848,0.35184438346313357,0.1311806037415465,0.8897368301359628,0.24001091993097745,-0.019200873594478196,0.008950555170067627,0.03898378690837907,0.5569013502059749,NEXIT
32,1.7137407863718286,0.35109091784686675,0.13145895833362087,0.8894357917039541,0.2465656477849132,-0.019725251822793055,0.008948328333331033,0.039308957321561803,0.5569755457161446,NEXIT
33,1.7138999360041345,0.3504783344418344,0.131236065411152,0.8896768434947863,0.24131639847074782,-0.019305311877659825,0.008950111476710784,0.039048465822795336,0.5569159846450248,NEXIT
34,1.7137691726792195,0.34997261265971746,0.13138129479869295,0.8895197776207456,0.24473614182896064,-0.01957889134631685,0.008948949641610457,0.039218092194451444,0.5569546568327238,NEXIT
35,1.7138518201620532,0.3495607236393177,0.13126195888040662,0.8896488383421075,0.24192598194128223,-0.01935407855530258,0.008949904328956747,0.03907868144105152,0.5569228424325873,NEXIT
36,1.7137816202119356,0.3492212100900127,0.13133737309585233,0.889567277139494,0.2437017158506416,-0.019496137268051328,0.00894930101523318,0.03916675227050588,0.5569429076300157,NEXIT
37,1.713824295934324,0.34894430930025044,0.13127331465937117,0.8896365566481652,0.24219333799180287,-0.01937546703934423,0.008949813482725031,0.039091936521567484,0.5569258550638494,NEXIT
38,1.7137864730000438,0.3487163406357777,0.13131225369150254,0.8895944434809537,0.24311018904776827,-0.01944881512382146,0.008949501970467979,0.03913740581303718,0.5569362089831985,NEXIT
39,1.713808351247312,0.3485302131877496,0.13127774204291168,0.8896317682992287,0.24229757765026338,-0.01938380621202107,0.008949778063656707,0.039097105029558404,0.5569270304682836,NEXIT
40,1.7137878761953116,0.34837712257289816,0.13129770397565754,0.889610179073448,0.24276758871727422,-0.019421407097381937,0.00894961836819474,0.039120412862847134,0.5569323359284827,NEXIT
41,1.7137989871794606,0.34825202453187803,0.13127902225505755,0.8896303837142581,0.24232771967208633,-0.019386217573766906,0.00894976782195954,0.03909859960902116,0.5569273704335702,NEXIT
42,1.7137878374508855,0.34814920757768375,0.13128915979063366,0.8896194197373629,0.24256640846975763,-0.01940531267758061,0.008949686721674932,0.03911043567846946,0.5569300638895345,NEXIT
43,1.713793408615576,0.3480651350599429,0.1312789869062464,0.8896304219449598,0.2423268873982254,-0.01938615099185803,0.008949768104750028,0.03909855834077354,0.5569273610460267,NEXIT
44,1.713787293138875,0.34799607703613145,0.131284069889327,0.8896249245712703,0.2424465653583785,-0.01939572522867028,0.008949727440885385,0.03910449273918667,0.5569287112371039,NEXIT
45,1.7137900370046393,0.34793957959348865,0.13127849029934552,0.8896309590389568,0.2423151949955682,-0.019385215599645456,0.008949772077605236,0.03909797857550752,0.556927229165879,NEXIT
46,1.7137866539136237,0.34789319331743385,0.13128099370086552,0.8896282515436211,0.2423741367616472,-0.019389930940931777,0.008949752050393077,0.03910090122437685,0.5569278940358452,NEXIT
47,1.713787970406553,0.3478552285392754,0.1312779070997164,0.8896315897856347,0.24230146383064088,-0.01938411710645127,0.008949776743202268,0.039097297722933785,0.5569270742975394,NEXIT
48,1.7137860801485374,0.3478240694202987,0.13127910820952957,0.8896302907521606,0.2423297434368532,-0.019386379474948257,0.008949767134323763,0.039098699957338966,0.556927393260527,NEXIT
49,1.7137866867433678,0.34779855914531244,0.13127738362479474,0.8896321559386207,0.24228913888163506,-0.019383131110530805,0.008949780931001641,0.03909668660076689,0.556926935296041,NEXIT
50,1.71378561855813,0.34777762781994376,0.13127793705200672,0.8896315573913895,0.2423021690427518,-0.019384173523420145,0.008949776503583947,0.03909733269038979,0.5569270822511538,NEXIT
51,1.7137858795768088,0.3477604868483674,0.131276962493795,0.8896326114039192,0.24227922358527332,-0.019382337886821865,0.00894978430004964,0.03909619496188796,0.556926823475342,NEXIT
52,1.7137852683067507,0.34774642570141556,0.13127720063347553,0.8896323538489813,0.24228483045041216,-0.019382786436032973,0.008949782394932196,0.0390964729717263,0.5569268867067936,NEXIT
53,1.7137853664231357,0.3477349085584891,0.13127664294347968,0.8896329570068843,0.24227169996027254,-0.019381735996821803,0.008949786856452162,0.039095821912964984,0.5569267386296786,NEXIT
54,1.7137850118310394,0.34772546241510643,0.13127673245946822,0.889632860192729,0.2422738075609221,-0.019381904604873768,0.008949786140324253,0.039095926415394076,0.5569267623973415,NEXIT
55,1.7137850370259495,0.34771772411682794,0.13127640894940393,0.8896332100783416,0.24226619071249234,-0.019381295256999387,0.008949788728404769,0.039095548745132075,0.5569266765021105,NEXIT
56,1.7137848283626829,0.3477113781765629,0.1312764319358133,0.8896331852178636,0.24226673191346526,-0.01938133855307722,0.008949788544513494,0.03909557557973224,0.5569266826051542,NEXIT
57,1.7137848238213655,0.34770617894193223,0.1312762415633674,0.8896333911112791,0.2422622497133542,-0.019380979977068336,0.00894979006749306,0.03909535333702231,0.5569266320603955,NEXIT
58,1.7137846992189119,0.34770191566608627,0.13127623742013145,0.8896333955923114,0.2422621521634416,-0.019380972173075328,0.008949790100638948,0.0390953485001742,0.5569266309603571,NEXIT
59,1.7137846848506835,0.347698422428989,0.13127612374008465,0.8896335185406502,0.24225947563971673,-0.019380758051177338,0.008949791010079323,0.03909521578926117,0.5569266007782103,NEXIT
60,1.7137846093537992,0.3476955582800399,0.1312761106313524,0.8896335327181334,0.24225916700293393,-0.019380733360234714,0.00894979111494918,0.039095200486046734,0.5569265972978512,NEXIT
61,1.7137845937347975,0.34769321128296443,0.13127604175242347,0.8896336072127419,0.2422575452933895,-0.01938060362347116,0.008949791665980613,0.039095120076413255,0.5569265790106115,NEXIT
62,1.713784547343914,0.3476912870774198,0.13127602750256634,0.8896336226243864,0.24225720978982013,-0.01938057678318561,0.008949791779979469,0.03909510344106371,0.5569265752273128,NEXIT
63,1.7137845337056004,0.3476897102151304,0.1312759851782644,0.8896336683993793,0.24225621329176938,-0.01938049706334155,0.008949792118573885,0.039095054031498065,0.5569265639903531,NEXIT
64,1.7137845048212965,0.3476884174779984,0.13127597273547487,0.8896336818566268,0.24225592033449983,-0.019380473626759986,0.008949792218116202,0.039095039505740066,0.5569265606868425,NEXIT
65,1.7137844940007596,0.3476873580476172,0.13127594638315015,0.8896337103574519,0.2422552998862515,-0.01938042399090012,0.008949792428934799,0.03909500874194899,0.5569265536904189,NEXIT
66,1.7137844757985055,0.34768648954474346,0.13127593651113556,0.8896337210343301,0.24225506745634284,-0.019380405396507427,0.008949792507910916,0.039094997217329695,0.5569265510694477,NEXIT
67,1.7137844676549443,0.3476857777593564,0.13127591990448245,0.8896337389949212,0.2422546764638267,-0.019380374117106136,0.008949792640764141,0.03909497783067721,0.5569265466604686,NEXIT
68,1.7137844560602997,0.347685194268466,0.1312759124747826,0.8896337470303634,0.24225450153625427,-0.019380360122900342,0.00894979270020174,0.0390949691572268,0.5569265446879245,NEXIT
69,1.7137844501284532,0.3476847160524304,0.13127590189652052,0.8896337584710696,0.2422542524780913,-0.019380340198247303,0.008949792784827836,0.03909495680813859,0.5569265418794567,NEXIT
70,1.7137844426730608,0.34768432404138816,0.13127589648465784,0.8896337643241609,0.2422541250594601,-0.019380330004756807,0.008949792828122737,0.03909495049031804,0.5569265404426396,NEXIT
71,1.7137844384449805,0.34768400275082983,0.13127588968280327,0.8896337716805697,0.2422539649142852,-0.019380317193142815,0.008949792882537574,0.039094942549818594,0.5569265386367884,NEXIT
72,1.7137844336123813,0.3476837393824579,0.1312758858253555,0.8896337758525148,0.24225387409337884,-0.019380309927470307,0.008949792913397156,0.03909493804662625,0.5569265376126601,NEXIT
73,1.7137844306437822,0.3476835235231303,0.1312758814163809,0.8896337806209526,0.24225377028702644,-0.019380301622962115,0.008949792948668954,0.03909493289958074,0.5569265364421053,NEXIT
74,1.7137844274899676,0.3476833465815919,0.13127587870800864,0.889633783550138,0.24225370651997924,-0.01938029652159834,0.008949792970335931,0.03909492973782182,0.5569265357230496,NEXIT
75,1.7137844254280286,0.347683201556578,0.13127587583065692,0.8896337866620799,0.24225363877489192,-0.019380291101991354,0.008949792993354745,0.03909492637879616,0.5569265349591316,NEXIT
76,1.7137844233581643,0.34768308267990183,0.13127587394946713,0.8896337886966429,0.2422535944833215,-0.01938028755866572,0.008949793008404263,0.03909492418269181,0.5569265344596878,NEXIT
77,1.713784421937289,0.34768298524503105,0.13127587206104685,0.8896337907390259,0.24225355002172044,-0.019380284001737635,0.008949793023511626,0.03909492197814665,0.5569265339583248,NEXIT
78,1.7137844205724666,0.34768290537864366,0.13127587076472538,0.8896337921410362,0.24225351950080132,-0.019380281560064105,0.008949793033882197,0.03909492046481873,0.5569265336141598,NEXIT
79,1.7137844195991265,0.34768283991722104,0.13127586951954306,0.8896337934877382,0.24225349018375253,-0.019380279214700202,0.008949793043843655,0.03909491901119077,0.5569265332835723,NEXIT
80,1.7137844186957871,0.3476827862595469,0.13127586863152585,0.8896337944481554,0.2422534692759215,-0.01938027754207372,0.008949793050947794,0.03909491797451799,0.5569265330478098,NEXIT
81,1.7137844180319655,0.3476827422794584,0.13127586780737308,0.8896337953395013,0.24225344987183206,-0.019380275989746565,0.008949793057541016,0.039094917012400664,0.5569265328290026,NEXIT
82,1.7137844174322339,0.3476827062298981,0.13127586720174195,0.8896337959945094,0.24225343561268264,-0.01938027484901461,0.008949793062386064,0.03909491630538587,0.5569265326682117,NEXIT
83,1.7137844169810539,0.3476826766820085,0.13127586665458274,0.8896337965862784,0.24225342273004324,-0.01938027381840346,0.008949793066763339,0.039094915666631334,0.5569265325229444,NEXIT
84,1.7137844165818898,0.3476826524623307,0.13127586624295315,0.8896337970314682,0.2422534130386289,-0.019380273043090313,0.008949793070056375,0.03909491518609426,0.5569265324136596,NEXIT
85,1.7137844162760256,0.34768263261068083,0.1312758658787798,0.8896337974253326,0.242253404464432,-0.01938027235715456,0.008949793072969761,0.03909491476095768,0.5569265323169742,NEXIT
86,1.713784416009849,0.34768261633883035,0.1312758655997276,0.8896337977271358,0.24225339789429867,-0.019380271831543894,0.008949793075202179,0.039094914435191704,0.5569265322428876,NEXIT
87,1.7137844158028956,0.34768260300157167,0.131275865356884,0.8896337979897784,0.24225339217681663,-0.01938027137414533,0.008949793077144927,0.039094914151695664,0.5569265321784141,NEXIT
88,1.7137844156251327,0.3476825920694192,0.13127586516807216,0.889633798193984,0.2422533877312616,-0.019380271018500927,0.008949793078655423,0.03909491393127642,0.5569265321282859,NEXIT
89,1.7137844154853077,0.34768258310883327,0.13127586500589192,0.8896337983693868,0.24225338391303808,-0.019380270713043046,0.008949793079952865,0.03909491374194696,0.5569265320852282,NEXIT
90,1.7137844153664585,0.3476825757641254,0.1312758648783239,0.8896337985073555,0.24225338090932969,-0.019380270472746375,0.008949793080973408,0.03909491359302388,0.5569265320513598,NEXIT
91,1.7137844152721051,0.3476825697439916,0.13127586476989309,0.8896337986246267,0.24225337835642735,-0.019380270268514188,0.008949793081840856,0.03909491346644153,0.5569265320225723,NEXIT
92,1.7137844151925465,0.3476825648094877,0.13127586468381067,0.8896337987177273,0.2422533763296597,-0.019380270106372777,0.008949793082529515,0.0390949133659488,0.5569265319997178,NEXIT
93,1.7137844151289434,0.3476825607648859,0.13127586461122617,0.8896337987962296,0.24225337462074892,-0.019380269969659913,0.00894979308311019,0.039094913281213554,0.5569265319804471,NEXIT
94,1.7137844150756427,0.3476825574496646,0.1312758645531985,0.8896337988589884,0.24225337325456398,-0.019380269860365118,0.008949793083574412,0.03909491321347195,0.5569265319650414,NEXIT
95,1.7137844150328039,0.3476825547323162,0.13127586450457013,0.8896337989115813,0.24225337210964648,-0.01938026976877172,0.00894979308396344,0.039094913156703125,0.5569265319521307,NEXIT
96,1.7137844149970882,0.34768255250500124,0.13127586446548656,0.8896337989538513,0.2422533711892716,-0.019380269695141727,0.008949793084276108,0.03909491311107687,0.5569265319417541,NEXIT
97,1.7137844149682329,0.34768255067936227,0.13127586443290173,0.8896337989890929,0.242253370422163,-0.01938026963377304,0.008949793084536787,0.0390949130730373,0.5569265319331033,NEXIT
98,1.7137844149442827,0.3476825491829518,0.13127586440657582,0.8896337990175651,0.24225336980232548,-0.01938026958418604,0.008949793084747392,0.0390949130423044,0.5569265319261139,NEXIT
99,1.7137844149248649,0.3476825479564043,0.1312758643847251,0.8896337990411973,0.24225336928790364,-0.01938026954303229,0.0089497930849222,0.03909491301679585,0.5569265319203127,NEXIT
100,1.7137844149088013,0.34768254695104817,0.13127586436700947,0.8896337990603573,0.24225336887073734,-0.019380269509658987,0.008949793085063924,0.03909491299611458,0.5569265319156093,NEXIT
101,1.713784414895738,0.34768254612699767,0.13127586435235403,0.8896337990762077,0.24225336852568002,-0.019380269482054402,0.008949793085181169,0.03909491297900576,0.5569265319117185,NEXIT
102,1.7137844148849508,0.34768254545155397,0.13127586434043584,0.8896337990890976,0.24225336824512667,-0.019380269459610133,0.008949793085276513,0.03909491296509244,0.5569265319085543,NEXIT
103,1.713784414876161,0.34768254489791944,0.13127586433059427,0.8896337990997414,0.24225336801353414,-0.01938026944108273,0.008949793085355246,0.03909491295360341,0.5569265319059412,NEXIT
104,1.7137844148689383,0.347682544444126,0.13127586432257493,0.8896337991084146,0.24225336782457418,-0.019380269425965935,0.008949793085419402,0.03909491294424161,0.5569265319038121,NEXIT
105,1.7137844148630128,0.3476825440721689,0.1312758643159854,0.8896337991155414,0.24225336766953154,-0.019380269413562523,0.008949793085472117,0.03909491293654899,0.5569265319020628,NEXIT
106,1.7137844148581762,0.34768254376729013,0.13127586431057933,0.8896337991213882,0.24225336754213345,-0.019380269403370676,0.008949793085515365,0.03909491293023795,0.5569265319006275,NEXIT
107,1.713784414854187,0.3476825435173923,0.13127586430616675,0.8896337991261605,0.24225336743827208,-0.019380269395061767,0.008949793085550667,0.03909491292508667,0.5569265318994558,NEXIT
108,1.7137844148509385,0.34768254331256093,0.1312758643025272,0.8896337991300969,0.24225336735256287,-0.01938026938820503,0.008949793085579782,0.039094912920837846,0.5569265318984898,NEXIT
