atlas,file,path,symmetry_n,drift_deg
symmetry_resonance_atlas,sym_n17_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_1.41.png,17,1.41
symmetry_resonance_atlas,sym_n18_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n18_drift_2.12.png,18,2.12
symmetry_resonance_atlas,sym_n17_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n17_drift_4.59.png,17,4.59
symmetry_resonance_atlas,sym_n05_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n05_drift_3.53.png,5,3.53
symmetry_resonance_atlas,sym_n10_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n10_drift_3.53.png,10,3.53
symmetry_resonance_atlas,sym_n19_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_2.12.png,19,2.12
symmetry_resonance_atlas,sym_n03_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_1.41.png,3,1.41
symmetry_resonance_atlas,sym_n16_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_1.41.png,16,1.41
symmetry_resonance_atlas,sym_n11_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_3.53.png,11,3.53
symmetry_resonance_atlas,sym_n04_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_3.53.png,4,3.53
symmetry_resonance_atlas,sym_n03_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_4.59.png,3,4.59
symmetry_resonance_atlas,sym_n16_drift_4.59.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_4.59.png,16,4.59
symmetry_resonance_atlas,sym_n07_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n07_drift_3.18.png,7,3.18
symmetry_resonance_atlas,sym_n12_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n12_drift_3.18.png,12,3.18
symmetry_resonance_atlas,sym_n20_drift_2.47.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_2.47.png,20,2.47
symmetry_resonance_atlas,sym_n03_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n03_drift_0.00.png,3,0.0
symmetry_resonance_atlas,sym_n16_drift_0.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n16_drift_0.00.png,16,0.0
symmetry_resonance_atlas,sym_n19_drift_3.53.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n19_drift_3.53.png,19,3.53
symmetry_resonance_atlas,sym_n06_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n06_drift_0.71.png,6,0.71
symmetry_resonance_atlas,sym_n13_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n13_drift_0.71.png,13,0.71
symmetry_resonance_atlas,sym_n07_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n07_drift_6.00.png,7,6.0
symmetry_resonance_atlas,sym_n12_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n12_drift_6.00.png,12,6.0
symmetry_resonance_atlas,sym_n11_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_2.12.png,11,2.12
symmetry_resonance_atlas,sym_n04_drift_2.12.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_2.12.png,4,2.12
symmetry_resonance_atlas,sym_n09_drift_0.71.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n09_drift_0.71.png,9,0.71
symmetry_resonance_atlas,sym_n20_drift_4.24.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n20_drift_4.24.png,20,4.24
symmetry_resonance_atlas,sym_n11_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n11_drift_1.41.png,11,1.41
symmetry_resonance_atlas,sym_n04_drift_1.41.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n04_drift_1.41.png,4,1.41
symmetry_resonance_atlas,sym_n08_drift_6.00.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_6.00.png,8,6.0
symmetry_resonance_atlas,sym_n08_drift_3.18.png,/Users/tho2020/Documents/GitHub/NEXAH/ENGINE/nexah_kernel/demos/visuals/symmetry_resonance_atlas/sym_n08_drift_3.18.png,8,3.18
