x,y,z,regime
1.0,1.0,1.0,TRANSITION
1.0002909457487001,1.0389775056535062,0.9975342811249744,TRANSITION
1.0011576062886907,1.0779237076209671,0.9951376581607375,TRANSITION
1.0025911194551302,1.1168616672674898,0.9928108310129813,TRANSITION
1.0045830908771987,1.15581407468128,0.990554616036686,TRANSITION
1.0071255869053302,1.194803261440568,0.9883699449355802,TRANSITION
1.010211133780886,1.233851207579212,0.9862578653870104,TRANSITION
1.0138326780152271,1.2729795819104137,0.9842195328666045,TRANSITION
1.017983596497858,1.3122097417534229,0.9822562147050714,TRANSITION
1.0226576799143148,1.351562755194342,0.9803692881304068,TRANSITION
1.02784911862421,1.3910594234482196,0.9785602398040424,TRANSITION
1.0335525065210611,1.4307202745406693,0.9768306657173262,TRANSITION
1.0397628274819648,1.4705655847663717,0.9751822706806309,TRANSITION
1.0464754318937632,1.5106154180252065,0.9736168705561563,TRANSITION
1.0536860296171036,1.5508896351958528,0.9721363894403675,TRANSITION
1.061390680082496,1.5914079104791037,0.9707428601267715,TRANSITION
1.0695858150721413,1.6321897009702986,0.9694384320662074,TRANSITION
1.078268201921839,1.6732543016541084,0.9682253658914145,TRANSITION
1.0874349362046158,1.714620858185774,0.9671060347324107,TRANSITION
1.0970834473073396,1.7563083629545584,0.9660829313948364,TRANSITION
1.107211482241897,1.7983356791419913,0.9651586652630293,TRANSITION
1.1178170988100997,1.8407215531608698,0.96433596424074,TRANSITION
1.128898666144859,1.8834846189078378,0.9636176818451638,TRANSITION
1.1404548523483866,1.9266434162673116,0.9630067952033214,TRANSITION
1.1524846185854174,1.9702164025485747,0.962506407689529,TRANSITION
1.1649872194764792,2.014221956892842,0.9621197560060083,TRANSITION
1.1779621927790436,2.0586783966400555,0.9618502097128863,TRANSITION
1.1914093534152643,2.103603988846303,0.9617012739601609,TRANSITION
1.2053287961081833,2.1490169522492666,0.9616765992403603,TRANSITION
1.2197208820541818,2.194935476917714,0.9617799777404414,TRANSITION
1.2345862349376728,2.2413777335563605,0.9620153475924987,TRANSITION
1.2499257371831776,2.2883618825446157,0.9623867972828889,TRANSITION
1.2657405280482774,2.3359060808439516,0.9628985720109265,TRANSITION
1.282032007420274,2.3840284823862894,0.9635550858103507,TRANSITION
1.2988018226186433,2.43274725792782,0.9643609160653237,TRANSITION
1.3160518691702596,2.4820805989174803,0.9653208123024698,TRANSITION
1.3337842894522434,2.5320467238171407,0.9664397026781851,TRANSITION
1.352001462166093,2.5826638943034395,0.9677226955062479,TRANSITION
1.370705990800354,2.633950432538118,0.9691750803687117,TRANSITION
1.3899007222359514,2.6859247059701903,0.9708023452619582,TRANSITION
1.4095887364387392,2.73860514324171,0.9726101785919002,TRANSITION
1.4297733444471923,2.792010241142791,0.974604475668627,TRANSITION
1.450458080012166,2.8461585775571177,0.9767913433372817,TRANSITION
1.4716466983119763,2.9010688175911503,0.9791771070952703,TRANSITION
1.4933431805707627,2.9567597140074895,0.9817683203122387,TRANSITION
1.5155517290469978,3.0132501168118355,0.984571770469522,TRANSITION
1.538276765415693,3.070558979494015,0.9875944867652122,TRANSITION
1.5615229268700792,3.12870536582456,0.9908437498313364,TRANSITION
1.5852950663432177,3.187708455182043,0.9943270986594976,TRANSITION
1.6095982519868628,3.247587547949484,0.9980523384604751,TRANSITION
1.6344377653979638,3.3083620711410435,1.0020275498482152,TRANSITION
1.6598191002882658,3.370051583719103,1.0062610980831599,TRANSITION
1.6857479580354646,3.4326757826996968,1.0107616453780381,TRANSITION
1.712230250210511,3.496254506952474,1.0155381575803002,TRANSITION
1.739272097490882,3.560807741940911,1.0205999143434406,TRANSITION
1.7668798283814666,3.626355624354088,1.0259565198430762,TRANSITION
1.7950599781696461,3.6929184458796533,1.031617914141765,TRANSITION
1.823819286717971,3.760516655207277,1.0375943874219038,TRANSITION
1.853164700009583,3.8291708642759725,1.0438965871412453,TRANSITION
1.8831033691362329,3.898901851045223,1.0505355308791744,TRANSITION
1.913642649798788,3.969730562545726,1.057522618662039,TRANSITION
1.9447901010095425,4.04167811674607,1.0648696470774135,TRANSITION
1.9765534832477911,4.114765803491339,1.0725888247948723,TRANSITION
2.0089407610144727,4.1890150898903835,1.0806927811352816,TRANSITION
2.0419601015463664,4.264447621194321,1.0891945816126758,TRANSITION
2.0756198746071277,4.341085222512015,1.098107742138935,TRANSITION
2.1099286506790986,4.418949897422115,1.1074462466333872,TRANSITION
2.144895200487591,4.498063828450471,1.1172245627032384,TRANSITION
2.180528497015694,4.578449381363633,1.1274576532903327,TRANSITION
2.2168377143456053,4.660129103737386,1.1381609945772133,TRANSITION
2.2538322275325884,4.74312572484767,1.1493505925151029,TRANSITION
2.2915216102087497,4.827462149320702,1.161043004303312,TRANSITION
2.329915635622272,4.913161459161368,1.1732553536313548,TRANSITION
2.369024277488054,5.0002469148744435,1.1860053467904919,TRANSITION
2.4088577091034904,5.088741951716866,1.1993112926869025,TRANSITION
