lambda,vmin,loading,risk,converged
0.5303030303030303,0.9819424727819063,65.23754481553496,0.018057527218093727,True
0.5404040404040404,0.9815878838379283,65.233111540373,0.018412116162071723,True
0.5505050505050505,0.9812263080843394,65.22891064994421,0.018773691915660584,True
0.5606060606060606,0.9808577272985952,65.2249517217962,0.019142272701404783,True
0.5707070707070707,0.9804821224396119,65.221244475692,0.01951787756038814,True
0.5808080808080808,0.9800994736399354,65.21779877606646,0.019900526360064563,True
0.5909090909090909,0.9797097601974838,65.2146246345406,0.020290239802516208,True
0.601010101010101,0.9793129605668668,65.21173221249592,0.020687039433133214,True
0.6111111111111112,0.9789090523502612,65.20913182371301,0.021090947649738845,True
0.6212121212121212,0.9784980122878504,65.20683393707145,0.021501987712149617,True
0.6313131313131313,0.9780798162477915,65.20484917931788,0.0219201837522085,True
0.6414141414141414,0.9776544392157266,65.2031883378995,0.02234556078427341,True
0.6515151515151515,0.9772218552838101,65.20186236386792,0.022778144716189885,True
0.6616161616161617,0.9767820376392463,65.20088237485406,0.023217962360753686,True
0.6717171717171717,0.9763349585523187,65.20025965811604,0.023665041447681334,True
0.6818181818181819,0.9758805893639089,65.20000567366289,0.024119410636091132,True
0.6919191919191919,0.9754189004724817,65.20013205745535,0.024581099527518302,True
0.702020202020202,0.9749498613205231,65.20065062468728,0.02505013867947692,True
0.7121212121212122,0.9744734403804198,65.2015733731487,0.02552655961958017,True
0.7222222222222222,0.9739896051397628,65.20291248667436,0.02601039486023715,True
0.7323232323232324,0.9734983220860508,65.20468033867957,0.026501677913949195,True
0.7424242424242424,0.9729995566907936,65.20688949578599,0.027000443309206368,True
0.7525252525252526,0.9724932733929689,65.20955272154131,0.02750672660703113,True
0.7626262626262627,0.9719794355818476,65.2126829802346,0.02802056441815237,True
0.7727272727272727,0.9714580055791322,65.21629344081109,0.0285419944208678,True
0.7828282828282829,0.9709289446204107,65.22039748088947,0.029071055379589317,True
0.7929292929292929,0.970392212835898,65.22500869088567,0.02960778716410195,True
0.803030303030303,0.969847769230432,65.23014087824622,0.030152230769567967,True
0.8131313131313131,0.969295571662708,65.23580807179444,0.030704428337292033,True
0.8232323232323233,0.9687355768237254,65.24202452619488,0.03126442317627465,True
0.8333333333333334,0.9681677402144173,65.2488047265388,0.031832259785582684,True
0.8434343434343434,0.9675920161224273,65.25616339305584,0.03240798387757271,True
0.8535353535353536,0.9670083575980146,65.26411548595593,0.03299164240198538,True
0.8636363636363636,0.9664167164290544,65.27267621040619,0.03358328357094564,True
0.8737373737373737,0.9658170431150837,65.2818610216483,0.03418295688491635,True
0.8838383838383839,0.9652092868403838,65.2916856302614,0.03479071315961624,True
0.893939393939394,0.9645933954460365,65.30216600757524,0.035406604553963494,True
0.9040404040404041,0.9639693154009377,65.31331839124086,0.036030684599062335,True
0.9141414141414141,0.9633369917717093,65.32515929096287,0.03666300822829072,True
0.9242424242424243,0.9626963681914807,65.33770549440179,0.037303631808519255,True
0.9343434343434344,0.9620473868274838,65.35097407325152,0.03795261317251619,True
0.9444444444444444,0.9613899883474205,65.36498238949952,0.03861001165257949,True
0.9545454545454546,0.9607241118845558,65.37974810187755,0.039275888115444246,True
0.9646464646464648,0.9600496950014764,65.39528917250937,0.03995030499852359,True
0.9747474747474748,0.9593666736524608,65.4116238737652,0.040633326347539245,True
0.9848484848484849,0.9586749821444109,65.4287707953305,0.041325017855589063,True
0.994949494949495,0.9579745530962769,65.446748851498,0.04202544690372312,True
1.0050505050505052,0.9572653173969108,65.46557728869308,0.042734682603089214,True
1.0151515151515151,0.9565472041612845,65.48527569324243,0.04345279583871553,True
1.0252525252525253,0.9558201406849993,65.50586399939588,0.04417985931500068,True
1.0353535353535355,0.9550840523970144,65.52736249761362,0.04491594760298556,True
1.0454545454545454,0.954338862810507,65.54979184312907,0.04566113718949305,True
1.0555555555555556,0.9535844934717885,65.5731730648018,0.04641550652821147,True
1.0656565656565657,0.9528208639071886,65.59752757427155,0.047179136092811436,True
1.0757575757575757,0.9520478915678013,65.62287717542851,0.04795210843219866,True
1.0858585858585859,0.9512654917720165,65.64924407421402,0.04873450822798353,True
1.095959595959596,0.9504735776457084,65.67665088876691,0.04952642235429161,True
1.106060606060606,0.9496720600599905,65.70512065993242,0.0503279399400095,True
1.1161616161616164,0.948860847566404,65.73467686215031,0.051139152433596013,True
1.1262626262626263,0.9480398463294348,65.7653434147407,0.05196015367056517,True
1.1363636363636365,0.9472089600562072,65.79714469360738,0.05279103994379275,True
1.1464646464646466,0.9463680899232345,65.83010554337856,0.05363191007676549,True
1.1565656565656566,0.9455171345000691,65.86425129000703,0.054482865499930866,True
1.1666666666666667,0.9446559896697004,65.89960775385282,0.055344010330299565,True
1.176767676767677,0.9437845485455342,65.93620126327284,0.056215451454465826,True
1.1868686868686869,0.9429027013847794,65.97405866874378,0.057097298615220615,True
1.196969696969697,0.9420103354980577,66.01320735754507,0.05798966450194232,True
1.2070707070707072,0.9411073351550339,66.05367526903218,0.058892664844966136,True
1.2171717171717171,0.9401935814858624,66.09549091053103,0.059806418514137594,True
1.2272727272727273,0.9392689523782272,66.13868337388648,0.06073104762177284,True
1.2373737373737375,0.9383333223697267,66.18328235270079,0.06166667763027334,True
1.2474747474747474,0.937386562535365,66.22931816029954,0.06261343746463499,True
1.2575757575757578,0.9364285403698763,66.27682174846446,0.06357145963012367,True
