lambda,vmin,loading,risk,converged,drisk,d2risk
0.5,0.9829644888566065,65.25214525723783,0.0,True,0.0,0.0
0.51010101010101,0.9826307590826507,65.24707090662291,0.0,True,0.0,0.0
0.5202020202020202,0.9822900923277023,65.242201037702,0.0,True,0.0,0.0
0.5303030303030303,0.9819424727819063,65.23754481553496,0.0,True,0.0,0.0
0.5404040404040404,0.9815878838379283,65.233111540373,0.0,True,0.0,0.0
0.5505050505050505,0.9812263080843394,65.22891064994421,0.0,True,0.0,0.0
0.5606060606060606,0.9808577272985952,65.2249517217962,0.0,True,0.0,0.0
0.5707070707070707,0.9804821224396119,65.221244475692,0.0,True,0.0,0.0
0.5808080808080808,0.9800994736399354,65.21779877606646,0.0,True,0.0,0.0
0.5909090909090909,0.9797097601974838,65.2146246345406,0.0,True,0.0,0.0
0.601010101010101,0.9793129605668668,65.21173221249592,0.0,True,0.0,0.0
0.6111111111111112,0.9789090523502612,65.20913182371301,0.0,True,0.0,0.0
0.6212121212121212,0.9784980122878504,65.20683393707145,0.0,True,0.0,0.0
0.6313131313131313,0.9780798162477915,65.20484917931788,0.0,True,0.0,0.0
0.6414141414141414,0.9776544392157266,65.2031883378995,0.0,True,0.0,0.0
0.6515151515151515,0.9772218552838101,65.20186236386792,0.0,True,0.0,0.0
0.6616161616161617,0.9767820376392463,65.20088237485406,0.0,True,0.0,0.0
0.6717171717171717,0.9763349585523187,65.20025965811604,0.0,True,0.0,0.0
0.6818181818181819,0.9758805893639089,65.20000567366289,0.0,True,0.0,0.0
0.6919191919191919,0.9754189004724817,65.20013205745535,0.0,True,0.0,0.0
0.702020202020202,0.9749498613205231,65.20065062468728,0.0,True,0.0,0.0
0.7121212121212122,0.9744734403804198,65.2015733731487,0.0,True,0.0,0.0
0.7222222222222222,0.9739896051397628,65.20291248667436,0.0,True,0.0,0.0
0.7323232323232324,0.9734983220860508,65.20468033867957,0.0,True,0.0,0.0
0.7424242424242424,0.9729995566907936,65.20688949578599,0.0,True,0.0,0.0
0.7525252525252526,0.9724932733929689,65.20955272154131,0.0,True,0.0,0.0
0.7626262626262627,0.9719794355818476,65.2126829802346,0.0,True,0.0,0.0
0.7727272727272727,0.9714580055791322,65.21629344081109,0.0,True,0.0,0.0
0.7828282828282829,0.9709289446204107,65.22039748088947,0.0,True,0.0,0.37300344313385125
0.7929292929292929,0.970392212835898,65.22500869088567,0.0,True,0.007535423093613081,1.726025533449735
0.803030303030303,0.969847769230432,65.23014087824622,0.00015223076956794035,True,0.03486920269595409,2.3521460013991797
0.8131313131313131,0.969295571662708,65.23580807179444,0.0007044283372920068,True,0.055053524131980315,1.0374434727244302
0.8232323232323233,0.9687355768237254,65.24202452619488,0.0012644231762746205,True,0.055827656690387154,0.07686016382256566
0.8333333333333334,0.9681677402144173,65.2488047265388,0.0018322597855826572,True,0.05660625471425437,0.07730824966653183
0.8434343434343434,0.9675920161224273,65.25616339305584,0.0024079838775726836,True,0.057389439511933246,0.07776846533143456
0.8535353535353536,0.9670083575980146,65.26411548595593,0.0029916424019853505,True,0.05817733482196012,0.07824105596093034
0.8636363636363636,0.9664167164290544,65.27267621040619,0.0035832835709456168,True,0.05897006690508336,0.07872627595309556
0.8737373737373737,0.9658170431150837,65.2818610216483,0.004182956884916322,True,0.059767764639194365,0.07922438928112241
0.8838383838383839,0.9652092868403838,65.2916856302614,0.004790713159616211,True,0.06057055961783331,0.079735669862675
0.893939393939394,0.9645933954460365,65.30216600757524,0.005406604553963468,True,0.061378586252581746,0.08026040193754103
0.9040404040404041,0.9639693154009377,65.31331839124086,0.006030684599062308,True,0.06219198187919778,0.0807988804690205
0.9141414141414141,0.9633369917717093,65.32515929096287,0.00666300822829069,True,0.06301088686811751,0.08135141156817838
0.9242424242424243,0.9626963681914807,65.33770549440179,0.007303631808519229,True,0.06383544473916097,0.08191831293678753
0.9343434343434344,0.9620473868274838,65.35097407325152,0.007952613172516165,True,0.0646658022809819,0.0824999143209948
0.9444444444444444,0.9613899883474205,65.36498238949952,0.008610011652579463,True,0.06550210967493864,0.08309655799090532
0.9545454545454546,0.9607241118845558,65.37974810187755,0.00927588811544422,True,0.06634452062423252,0.08370859928130425
0.9646464646464648,0.9600496950014764,65.39528917250937,0.009950304998523563,True,0.06719319248870237,0.08433640712518198
0.9747474747474748,0.9593666736524608,65.4116238737652,0.010633326347539218,True,0.06804828642474126,0.08498036459876612
0.9848484848484849,0.9586749821444109,65.4287707953305,0.011325017855589037,True,0.06890996753110168,0.08564086953752881
0.994949494949495,0.9579745530962769,65.446748851498,0.012025446903723092,True,0.06977840500125698,0.08631833517563736
1.0050505050505052,0.9572653173969108,65.46557728869308,0.012734682603089187,True,0.07065377228212466,0.0870131907988676
1.0151515151515151,0.9565472041612845,65.48527569324243,0.013452795838715503,True,0.07153624723961793,0.0877258824374536
1.0252525252525253,0.9558201406849993,65.50586399939588,0.014179859315000654,True,0.07242601233136614,0.0884568736138589
1.0353535353535355,0.9550840523970144,65.52736249761362,0.014915947602985535,True,0.07332325478737267,0.08920664613217655
1.0454545454545454,0.954338862810507,65.54979184312907,0.015661137189493024,True,0.07422816679868283,0.08997570088090123
1.0555555555555556,0.9535844934717885,65.5731730648018,0.016415506528211443,True,0.07514094571425955,0.09076455870982336
1.0656565656565657,0.9528208639071886,65.59752757427155,0.01717913609281141,True,0.07606179424736614,0.0915737613495975
1.0757575757575757,0.9520478915678013,65.62287717542851,0.017952108432198632,True,0.0769909206910191,0.09240387236360315
1.0858585858585859,0.9512654917720165,65.64924407421402,0.018734508227983504,True,0.07792853914360054,0.09325547818620672
1.095959595959596,0.9504735776457084,65.67665088876691,0.019526422354291584,True,0.0788748697452859,0.09412918920735125
1.106060606060606,0.9496720600599905,65.70512065993242,0.020327939940009476,True,0.07983013892556723,0.09502564090234022
1.1161616161616164,0.948860847566404,65.73467686215031,0.021139152433595987,True,0.08079457966250492,0.09594549504398664
1.1262626262626263,0.9480398463294348,65.7653434147407,0.02196015367056514,True,0.08176843175473869,0.09688944099831875
1.1363636363636365,0.9472089600562072,65.79714469360738,0.022791039943792724,True,0.08275194210691539,0.0978581970678718
1.1464646464646466,0.9463680899232345,65.83010554337856,0.02363191007676546,True,0.08374536502883712,0.09885251192957689
1.1565656565656566,0.9455171345000691,65.86425129000703,0.02448286549993084,True,0.08474896254993713,0.09987316617182085
1.1666666666666667,0.9446559896697004,65.89960775385282,0.025344010330299538,True,0.08576300474947995,0.10092097390593491
1.176767676767677,0.9437845485455342,65.93620126327284,0.0262154514544658,True,0.0867877701035924,0.10199678448004423
1.1868686868686869,0.9429027013847794,65.97405866874378,0.02709729861522059,True,0.08782354585008689,0.10310148430610333
1.196969696969697,0.9420103354980577,66.01320735754507,0.02798966450194229,True,0.08887062837240256,0.10423599880219836
1.2070707070707072,0.9411073351550339,66.05367526903218,0.02889266484496611,True,0.08992932360366668,0.10540129443672264
1.2171717171717171,0.9401935814858624,66.09549091053103,0.029806418514137567,True,0.0909999474519323,0.1065983809300679
1.2272727272727273,0.9392689523782272,66.13868337388648,0.03073104762177281,True,0.09208282624871855,0.10782831360236322
1.2373737373737375,0.9383333223697267,66.18328235270079,0.03166667763027331,True,0.09317829722167703,0.10909219582168461
1.2474747474747474,0.937386562535365,66.22931816029954,0.032613437464634965,True,0.09428670899259095,0.11039118166369377
1.2575757575757578,0.9364285403698763,66.27682174846446,0.033571459630123646,True,0.09540842210377187,0.1117264787460206
1.2676767676767677,0.9354591196645817,66.32582472697709,0.034540880335418245,True,0.09654380957331865,0.11309935121172998
1.2777777777777777,0.9344781603784962,67.14971907394705,0.03552183962150379,True,0.09769325748178659,0.11451472254716677
1.287878787878788,0.9334855185033335,68.53820984711359,0.03651448149666647,True,0.09885723831164528,0.11596726299045113
1.297979797979798,0.9324810444530084,69.93067370437255,0.037518955546991584,True,0.10003603047149268,0.11745440981203625
1.3080808080808082,0.9314645885948185,71.32717852183397,0.03853541140518146,True,0.10123005467148438,0.11899113037261788
1.3181818181818183,0.9304359928434834,72.72779552796749,0.039564007156516534,True,0.10243989169114154,0.12057626911748898
1.3282828282828283,0.9293950958333813,74.13259826898975,0.04060490416661866,True,0.10366593889608011,0.12220478205214125
1.3383838383838385,0.9283417314516434,75.54166288785824,0.041658268548356525,True,0.10490867516694236,0.12388160795882897
1.3484848484848486,0.9272757286582916,76.95506815802366,0.04272427134170842,True,0.10616859764272313,0.12560860052734046
1.3585858585858586,0.926196911297245,78.37289552598472,0.043803088702754955,True,0.10744622265234316,30.073265615504752
1.3686868686868687,0.9251050978976382,79.79522916233584,0.0448949021023618,True,0.7137093171478801,65.15312012307751
1.378787878787879,0.924000101464827,81.22215602109736,0.058221458746146565,True,1.4236708716034125,40.45829316828408
1.3888888888888888,0.9228817292604437,82.65376590719652,0.07365592981152147,True,1.5310485730728205,5.618602090333184
1.3989898989898992,0.9217497825707829,84.0901515520421,0.0891517329496381,True,1.5371779845394329,0.6125997023430756
1.4090909090909092,0.9206040564627652,85.53140869720532,0.10471003050928798,True,1.543424324635307,0.6243625104213635
1.4191919191919191,0.919444339526662,86.97763618628716,0.12033202233620949,True,1.549791368588349,0.6365055519295737
1.4292929292929295,0.918270413604692,88.42893606511186,0.13601894704642656,True,1.5562830226540862,0.6490422993052221
1.4393939393939394,0.9170820535045408,89.88541369044694,0.1517720833999286,True,1.562903334230879,0.6619872458949914
1.4494949494949496,0.9158790266967727,91.3471778475136,0.16759275177836336,True,1.5696565023691367,0.6753559483206857
1.4595959595959598,0.9146610929950147,92.81434087660372,0.18348231577102245,True,1.5765468887424081,0.6891650756300578
1.4696969696969697,0.9134280042177132,94.28701880918827,0.19944218387416945,True,1.5835790291495417,0.7034324655141404
1.47979797979798,0.9121795038301445,95.76533151395414,0.21547381130939688,True,1.5907576456214816,0.7181771878712482
1.48989898989899,0.9109153265652615,97.24940285327945,0.23157870196753294,True,1.5980876592075468,0.5461581330885963
1.5,0.9096351980218438,98.73936085071506,0.24775841048530678,True,1.601791143259635,0.3666449211567377
