step,lambda,risk,slope,d2c,distance,steer,state,action
105,1.901411399762998,0.402580493314766,0.001656951466017187,-0.00022978744093243852,0.6094693988154286,0.015751961966799607,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
106,1.9020695956986762,0.4040281689642624,0.0014476756494964382,-0.00020927581652074867,0.6080038715123911,0.015658195935678312,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
107,1.9026439860782791,0.40529669995630285,0.0012685309920404397,-0.0001791446574559985,0.6067197835576713,0.015574390379603073,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
108,1.9031461420345785,0.40640474860991044,0.001108048653607585,-0.00016048233843285464,0.6055982104911917,0.015502155956299623,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
109,1.9035843298029775,0.4073742323650575,0.0009694837551470492,-0.00013856489846053588,0.604616942209046,0.015438187768399015,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
110,1.9039670977537044,0.4082208063465937,0.0008465739815362028,-0.00012290977361084643,0.6037601143943788,0.01538276795072692,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
111,1.904301063436949,0.4089607559031924,0.0007399495565987291,-0.0001066244249374737,0.6030112301615228,0.015333965683244659,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
112,1.9045926260119037,0.4096067003544221,0.0006459444512296741,-9.400510536905493e-05,0.6023575070508652,0.015291562574954733,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
113,1.9048469794623848,0.4101708854601398,0.0005641851057177072,-8.175934551196695e-05,0.6017865436914389,0.0152543534504811,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
114,1.9050689501480709,0.41066326261826613,0.0004923771581263336,-7.180794759137354e-05,0.601288262977161,0.015221970685686119,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
115,1.905262567779174,0.41109309958866724,0.0004298369704011096,-6.254018772522407e-05,0.6008532813729976,0.015193617631103185,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
116,1.905431487651764,0.41146814291684086,0.00037504332817361874,-5.4793642227490835e-05,0.6004737560955004,0.01516891987259024,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
117,1.9055788141007184,0.4117954299656257,0.00032728704878481896,-4.775627938879978e-05,0.6001425630144439,0.015147326448954659,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
118,1.9057073217001221,0.41208094285949276,0.00028551289386707923,-4.1774154917739725e-05,0.5998536465913957,0.015128507599403807,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
119,1.9058193912262789,0.41233003388689876,0.000249091027406001,-3.6421866461078256e-05,0.5996015892034317,0.01511206952615681,LOCK,REDUCE_LOAD + REACTIVE_SUPPORT
