step,lambda,risk,distance,gradient,steer,drift,barrier,potential,state
0,0.5422735163218371,9.16600371985333e-06,1.1599912922964664,-0.34092032892352186,0.02727362631388175,0.01499989000795536,1.769174543857337e-80,1.0081844362773327,NEXIT
1,0.5843559068934632,1.2854395743623277e-05,1.1549149663654232,-0.3385318103046875,0.027082544824375,0.014999845747251075,1.3400836027227553e-75,0.9938230740076752,NEXIT
2,0.626249438570228,1.7999425010502525e-05,1.1498601917190245,-0.33617184587331206,0.026893747669864965,0.014999784006899873,6.764918403008913e-71,0.9796265753309902,NEXIT
3,0.6679568800702659,2.51656734321534e-05,1.1448261599818121,-0.33384679360148883,0.026707743488119107,0.014999698011918812,2.2882289098372954e-66,0.9655919508635739,NEXIT
4,0.7094816850087934,3.5132634813556595e-05,1.1398117983884952,-0.33156533162681523,0.02652522653014522,0.014999578408382237,5.214210397891946e-62,0.9517157670267536,NEXIT
5,0.7508282398358318,4.8975249663188775e-05,1.1348156713117648,-0.32933928162542925,0.02634714253003434,0.014999412297004041,8.048118597322608e-58,0.9379939825980294,NEXIT
6,0.7920021993670313,6.817434356324746e-05,1.1298358455933153,-0.327184720291529,0.02617477762332232,0.01499918190787724,8.460809260552793e-54,0.9244217282507194,NEXIT
7,0.8330109405293981,9.476814980229624e-05,1.1248697063336441,-0.32512347975205413,0.02600987838016433,0.014998862782202372,6.092299972162647e-50,0.9109930092035206,NEXIT
8,0.8738641757450629,0.00013156045937732494,1.1199137047000638,-0.3231851742647174,0.02585481394117739,0.014998421274487472,3.0220796140241135e-46,0.897700303949306,NEXIT
9,0.9145747821906038,0.00018240719809258486,1.1149630120724048,-0.32140994164897574,0.02571279533191806,0.014997811113622889,1.038902435339382e-42,0.884534022046903,NEXIT
10,0.9551599236880915,0.00025261236792536155,1.1100110443875986,-0.31985216057378585,0.025588172845902868,0.014996968651584895,2.4905173357859213e-39,0.8714817697951427,NEXIT
