x,y,z
1.0,1.0,1.0
1.0278750173899416,1.3912475026366677,0.978551831073516
1.1073100414245893,1.7987368295744441,0.9651503633180304
1.234801598655768,2.2420437424919566,0.9620196774384527
1.4099677954323397,2.7396135333489386,0.9726463317772552
1.6350345679038352,3.3098172410987114,1.0021251171217438
1.914522337237561,3.9717664980054543,1.0577270716508949
2.2550748003874506,4.745909644488195,1.149731381596891
2.665377583169579,5.654382717007796,1.292590811068172
3.1561144357840116,6.721019738007533,1.5065229479944955
3.739895867669819,7.970830335525424,1.819628257825821
4.431067987728703,9.428611509576688,2.2706134109950495
5.2452622185154105,11.116160558766174,2.9121060094126783
6.198473754944397,13.047296962008168,3.8143128023465915
7.305355693048972,15.219627790364452,5.068277946046779
8.576299194512558,17.60186683468638,6.787078150154944
10.012783176264522,20.115934612668934,9.101797481218494
11.600544892848703,22.614808131993687,12.147176111423429
13.300583431123552,24.86126471621201,16.03035273999058
15.039211631813044,26.519978915316198,20.777714650154948
16.700558375667814,27.183834547115204,26.264060022399846
18.12759900140198,26.456429969794907,32.14846676614994
19.138864958062342,24.092065608456824,37.8656337918582
19.5639443211258,20.145835238583153,42.72368281385508
19.290125666152548,15.039395168361231,46.107999771806504
18.300626051328493,9.465697776081544,47.700360005239304
16.683616008220277,4.160388215253455,47.57961147568224
14.606220726045686,-0.3286660685935086,46.14350683533849
12.267806756962829,-3.7500402190479583,43.91941815716589
9.855149027539303,-6.116297810869275,41.386661562481876
7.5146195946527685,-7.5978777985620765,38.884237317787
5.343606408797021,-8.41858878058964,36.60185464643428
3.3951640938310406,-8.788850177591382,34.615157370711756
1.6884690027141356,-8.877147184997314,32.92980590337154
0.2198770362921793,-8.805872921000173,31.516757345554858
-1.0278961284175825,-8.658218540090843,30.334830472781416
-2.0791022155192347,-8.487900297358504,29.342869868763273
-2.9605329165476104,-8.327984502564279,28.50514582148667
-3.6987982663480685,-8.19768343703993,27.792967867686777
-4.318785779054146,-8.107165064185669,27.18445236031808
-4.842887060486314,-8.060794804598933,26.663549340493006
-5.290699082689544,-8.059254581905158,26.218891565493593
-5.679004220415517,-8.100897779420427,25.842718158678583
-6.021903314616935,-8.182597241772394,25.529961514128388
-6.331022941985269,-8.300260898887567,25.277507455156705
-6.615749110483858,-8.449131077752881,25.083605297203377
-6.8834594395509825,-8.62394462237819,24.947393920066585
-7.139738659635272,-8.819006913817972,24.86851048541866
-7.388570579143085,-9.028218479658525,24.84675340005517
-7.6325054684066505,-9.245083926852447,24.88177819456686
-7.8728055676512865,-9.462727835735661,24.97281261170335
-8.109574352168389,-9.673939201492884,25.11838482346817
-8.341877126610791,-9.871262312323335,25.316067051497892
-8.567861637406976,-10.047148215200266,25.562244366422547
-8.78488788726585,-10.19417521924102,25.851925760541945
-8.989675515804604,-10.305338773462909,26.17861992600476
-9.178475609280198,-10.374400662611619,26.534301903563343
-9.347270074677832,-10.396275359883358,26.909494055481016
-9.49199787131049,-10.3674196010231,27.29347956608715
-9.608801475799869,-10.286180211111992,27.67465355860578
-9.694281729243393,-10.153053685874161,28.04099957460748
-9.745744299082748,-9.97081049316348,28.380660699657206
-9.76141724267838,-9.744451868431655,28.682554964899833
-9.740619534489253,-9.48098612137015,28.93697364449932
-9.68386242921226,-9.189036880323565,29.136096480491336
-9.59287240726235,-8.878320661679114,29.27436851215689
-9.47053201177264,-8.559051096222928,29.34869942029635
