n,drift,score,closure_error,radial_variance,angular_irregularity
3,0.0,0.17262267121087108,1.4441499944114349,0.307021239786811,5.949798228611511e-14
3,0.35294117647058826,0.15836761381815695,1.6179634963321736,0.307021239786811,7.179027745996333e-14
3,0.7058823529411765,0.22580169218605087,0.9893776379678462,0.307021239786811,7.581430297100399e-14
3,1.0588235294117647,0.373616128452022,0.4053373739402435,0.307021239786811,7.453759484000667e-14
3,1.411764705882353,0.1876471132920223,1.2895400661457321,0.307021239786811,7.458598770523758e-14
3,1.7647058823529413,0.1557034281023436,1.6539781044239572,0.307021239786811,6.624752702143391e-14
3,2.1176470588235294,0.19850176274819056,1.1924022595949435,0.307021239786811,4.692201585047944e-14
3,2.4705882352941178,0.3981407825428532,0.35038083747263316,0.307021239786811,3.345792334823365e-14
3,2.823529411764706,0.20989207228095344,1.101273833743022,0.307021239786811,6.066950795040969e-14
3,3.1764705882352944,0.1565017910530577,1.6430571238818175,0.307021239786811,7.179789224294829e-14
3,3.5294117647058827,0.1799116548842013,1.3659172453063508,0.307021239786811,7.481839352962124e-14
3,3.882352941176471,0.3429838328654451,0.485019153405711,0.307021239786811,7.426450361321226e-14
3,4.235294117647059,0.2424786516450499,0.8878475137204977,0.307021239786811,7.301111552810143e-14
3,4.588235294117648,0.16084313807398645,1.585568568220064,0.307021239786811,6.378530018987164e-14
3,4.9411764705882355,0.1675375572753015,1.502759684037637,0.307021239786811,4.27404878330913e-14
3,5.294117647058824,0.2811148302014233,0.6989111102627527,0.307021239786811,3.7587906850740605e-14
3,5.647058823529412,0.28993798194137016,0.6628271974841276,0.307021239786811,6.162587301485182e-14
3,6.0,0.16917771909337898,1.4834706669233255,0.307021239786811,7.154847389031648e-14
4,0.0,0.19810273883889845,1.1957846428594379,0.307021239786811,8.421090919293737e-14
4,0.35294117647058826,0.1556875883517308,1.6541959129715587,0.307021239786811,7.719429242563556e-14
4,0.7058823529411765,0.18797383782325036,1.2864524650054214,0.307021239786811,8.39791865626664e-14
4,1.0588235294117647,0.37470271598961774,0.40275016794997986,0.307021239786811,7.915465592444729e-14
4,1.411764705882353,0.22521736048782662,0.9932077293403376,0.307021239786811,6.495772574318924e-14
4,1.7647058823529413,0.1582886511635977,1.6190134843277622,0.307021239786811,1.2205737478090526e-14
4,2.1176470588235294,0.17284003128454598,1.4417216160802953,0.307021239786811,6.414191703502504e-14
4,2.4705882352941178,0.30900289696551164,0.5918945848476183,0.307021239786811,7.845561511062608e-14
4,2.823529411764706,0.2648906901841731,0.7715367512878619,0.307021239786811,8.361033992360667e-14
4,3.1764705882352944,0.1646153958365325,1.5380780271227408,0.307021239786811,7.717632973183903e-14
4,3.5294117647058827,0.16305328217523918,1.557477564785263,0.307021239786811,8.363843537253004e-14
4,3.882352941176471,0.255873376463471,0.8158837394330227,0.307021239786811,7.746425511799353e-14
4,4.235294117647059,0.32151269957061646,0.5499217290573212,0.307021239786811,6.125809920967382e-14
4,4.588235294117648,0.1753440038287697,1.4141810379605482,0.307021239786811,2.4020026898559808e-14
4,4.9411764705882355,0.1574972398486161,1.6295952532871099,0.307021239786811,6.602545543815045e-14
4,5.294117647058824,0.21904563058687876,1.0349089913092344,0.307021239786811,7.913063958179164e-14
4,5.647058823529412,0.38571112807779334,0.3773606524181432,0.307021239786811,8.313143263511353e-14
4,6.0,0.19172163185460991,1.2517878855952005,0.307021239786811,7.879878599363184e-14
5,0.0,0.22235465996379636,1.0122626244703365,0.307021239786811,6.517308084751131e-14
5,0.35294117647058826,0.1579114498502778,1.624043722425514,0.307021239786811,2.953976156322663e-14
5,0.7058823529411765,0.1739522630953394,1.4293905780287266,0.307021239786811,7.127576869787306e-14
5,1.0588235294117647,0.3146158763742739,0.5726490932614048,0.307021239786811,7.990235202514072e-14
5,1.411764705882353,0.26071027527000373,0.7917145270176789,0.307021239786811,7.812694142425145e-14
5,1.7647058823529413,0.16388490878133963,1.5471037470955025,0.307021239786811,6.693850149716534e-14
5,2.1176470588235294,0.1637429227731892,1.5488674392897228,0.307021239786811,8.161710259110318e-14
5,2.4705882352941178,0.2598906548725899,0.7957467328321146,0.307021239786811,7.831258098498917e-14
5,2.823529411764706,0.31575359830959904,0.5688315327149424,0.307021239786811,6.162431967351507e-14
5,3.1764705882352944,0.17417985408109826,1.4268867425064689,0.307021239786811,3.927936172182405e-14
5,3.5294117647058827,0.15783951494317325,1.6250057534410445,0.307021239786811,7.334768709950355e-14
5,3.882352941176471,0.22179372455667057,1.0160539939518842,0.307021239786811,8.213430796457778e-14
5,4.235294117647059,0.38094606669419157,0.38817055007537843,0.307021239786811,7.915119396446402e-14
5,4.588235294117648,0.18998263189829373,1.2677023966299805,0.307021239786811,7.376560698995317e-14
5,4.9411764705882355,0.1556155205166311,1.6551874600068808,0.307021239786811,8.34812839942703e-14
5,5.294117647058824,0.19576510283115284,1.2158769531690385,0.307021239786811,7.794659535698244e-14
5,5.647058823529412,0.39432895541969654,0.35847396916255525,0.307021239786811,5.6636895705440754e-14
5,6.0,0.21331919657996198,1.0757595943090212,0.307021239786811,4.6098777278250464e-14
6,0.0,0.2438877740074349,0.8799048913593044,0.307021239786811,5.949798228611511e-14
6,0.35294117647058826,0.16106811378517,1.5826738768381223,0.307021239786811,7.581430297100399e-14
6,0.7058823529411765,0.16718964581094378,1.5068999279598672,0.307021239786811,7.458598770523758e-14
6,1.0588235294117647,0.27921917101088717,0.7069613722690792,0.307021239786811,4.692201585047944e-14
6,1.411764705882353,0.29196376820773406,0.654850221292042,0.307021239786811,6.066950795040969e-14
6,1.7647058823529413,0.169559079469466,1.4790391736237534,0.307021239786811,7.481839352962124e-14
6,2.1176470588235294,0.15969518064541352,1.6004659579812732,0.307021239786811,7.301111552810143e-14
6,2.4705882352941178,0.2350614995248621,0.9312246543806524,0.307021239786811,4.27404878330913e-14
6,2.823529411764706,0.35628150285227855,0.44874582806910734,0.307021239786811,6.162587301485182e-14
6,3.1764705882352944,0.18301132081346325,1.3345369966057516,0.307021239786811,7.381479029068383e-14
6,3.5294117647058827,0.15607279166452548,1.648911611713866,0.307021239786811,7.134061070257543e-14
