step,lambda,psi,risk,distance,grad,state,dlam,dpsi,lam_drift,psi_drift,lam_restore,psi_restore,lam_rot,psi_rot,lam_nonlin,psi_nonlin,lam_damp,psi_damp,lam_barrier,dist_push,potential
35,1.363666598222954,0.8668470442294124,0.07122557479778521,1.174154634956499,-0.0015152124033840086,NEXIT,-0.004762379406998907,0.006081481153470138,0.01,0.004,-0.007808593035375299,-0.006005171407151966,-0.004718348962762259,0.009543835932125367,-9.796751631959352e-06,-2.3676274798780795e-06,0.0021822236160350767,0.0014548157440233845,4.3417041194313824e-05,0.0,0.5626900082681873
36,1.360501071804866,0.8702381876582886,0.06970419872542588,1.1758620699057314,-0.0015213760723593317,NEXIT,-0.004870040643212397,0.0052171437367327786,0.01,0.004,-0.007529993840065867,-0.006558586192117742,-0.0051531748652353685,0.009203325804524948,-8.785117884350398e-06,-3.084379718723941e-06,0.0021367672439335564,0.0014245114959557043,4.1319576093254435e-05,0.0,0.5596874394314957
37,1.3573098787992146,0.8731137121308481,0.06819811605421389,1.1774841322255325,-0.0015060826712119946,NEXIT,-0.00490952770100219,0.004423883803937691,0.01,0.004,-0.007245096462437938,-0.007033346272160418,-0.005526200642411756,0.00885511789853526,-7.825214429518148e-06,-3.803847928633069e-06,0.0020911259617627763,0.0013940839745085177,3.92794199602008e-05,0.0,0.5566464910129415
38,1.3541309910358987,0.875518523324844,0.06672451670338338,1.179015404735668,-0.0014735993508305095,NEXIT,-0.004890596558947663,0.003699709529224434,0.01,0.004,-0.006957889091929312,-0.007435919698318741,-0.005842508334393296,0.008504086667913604,-6.93100538554077e-06,-4.495119286150494e-06,0.0020459434816264164,0.0013639623210842777,3.732464561309767e-05,0.0,0.5536095335789583
39,1.3509965954411605,0.8774959479047258,0.06529685971505177,1.1804523837270133,-0.0014276569883316104,NEXIT,-0.0048221470688281564,0.0030421916613565534,0.01,0.004,-0.006671789193230884,-0.007772593265478172,-0.0061070375657328495,0.008154409013948857,-6.110695983090051e-06,-5.133753046464505e-06,0.002001735501101501,0.0013344903340676677,3.547411277983206e-05,0.0,0.5506116250039937
40,1.3479336258842114,0.8790875076940139,0.06392538935723469,1.181793207474524,-0.0013714703578170812,NEXIT,-0.00471226085684458,0.002448553521981618,0.01,0.004,-0.006389693589704439,-0.008049432706661626,-0.006324554269519849,0.007809625498527648,-5.367892729882758e-06,-5.702075583368793e-06,0.001958905791451553,0.0013059371943010354,3.373931343885679e-05,0.0,0.547681278027863
41,1.3449642682207252,0.8803327459460569,0.06261761574628523,1.1830374107380048,-0.0013077736109494559,NEXIT,-0.004568242559209522,0.0019157511569892073,0.01,0.004,-0.006114026329579023,-0.008272251077161952,-0.0064996258463415335,0.007472698847263251,-4.7026823505016455e-06,-6.188825967398063e-06,0.0019177616807170405,0.0012785077871446937,3.212602022142329e-05,0.0,0.5448412281271466
42,1.342106437304235,0.8812690997724045,0.06137875140148376,1.1841857039373598,-0.0012388643448014713,NEXIT,-0.004396662948446317,0.0014405443482270526,0.01,0.004,-0.0058467841398652685,-0.008446584432447977,-0.006636602054066267,0.007146069504279773,-4.112585229304213e-06,-6.588408679038976e-06,0.0018785284723885568,0.0012523523149257046,3.0635696896920645e-05,0.0,0.5421091706900044
43,1.3393742254175327,0.8819318132266226,0.0602121000487211,1.1852397755091864,-0.001166651352762657,NEXIT,-0.004203402902618926,0.0010195591603355198,0.01,0.004,-0.005589579357381153,-0.008577673968136641,-0.006739600974964503,0.0068317081034658545,-3.5933631506040947e-06,-6.899946964018267e-06,0.0018413625420445126,0.0012275750280296752,2.9266665078152094e-05,0.0,0.5394984484598011
44,1.3367783220656526,0.8823538859602953,0.059119397413137556,1.1862021158584095,-0.001092702635583545,NEXIT,-0.003993697464430943,0.0006493426671887732,0.01,0.004,-0.005343680287577941,-0.008670453851727175,-0.006812499454928494,0.006531164795928595,-3.1396781452340975e-06,-7.1262760382247115e-06,0.001806363001461633,0.001204242000974422,2.801504231764223e-05,0.0,0.5370186790175447
45,1.3343264054217856,0.8825660527683878,0.05810110600039202,1.1870758612885695,-0.0010182914127455367,NEXIT,-0.0037721794521031653,0.00032641047398846877,0.01,0.004,-0.005110048985908733,-0.008729544034441348,-0.006858927455632487,0.006245615427221784,-2.7456104611446205e-06,-7.27297052921667e-06,0.0017735819223941266,0.0011823879482627511,2.6875477706674053e-05,0.0,0.5346763183014512
46,1.3320235059670196,0.8825967897238822,0.057156667243732806,1.1878646563091326,-0.0009444387566592133,NEXIT,-0.0035429222381014444,4.728762383753894e-05,0.01,0.004,-0.004889376487960701,-0.008759247387574306,-0.006882265804522668,0.005975904596396413,-2.4050503344911238e-06,-7.347464976728142e-06,0.0017430331800117604,0.0011620221200078404,2.5841715271823137e-05,0.0,0.5324751603726032
47,1.3298723430434223,0.8824723429670602,0.05628471512513322,1.1885725327639862,-0.0008719521185995838,NEXIT,-0.0033094814209188844,-0.0001914565489569397,0.01,0.004,-0.004682115537031759,-0.008763550561343519,-0.0068856468696270505,0.00572258565637215,-2.111981499183091e-06,-7.358299110914774e-06,0.001714700017311984,0.0011431333448746561,2.4907015448907894e-05,0.0,0.5304167763185755
48,1.32787363516875,0.882216776563116,0.055483255653902885,1.1892038042915833,-0.0008014594712303369,NEXIT,-0.0030749351918036454,-0.00039317908299100557,0.01,0.004,-0.004488510873908003,-0.00874612801538844,-0.0068719577263766304,0.005485957734776448,-1.8606752278517313e-06,-7.3144998763494985e-06,0.0016885414537539966,0.0011256943025026644,2.4064462537164272e-05,0.0,0.5285008967508661
49,1.3260263850547949,0.8818520361728855,0.054749816553955666,1.1897629747063447,-0.0007334390999472196,NEXIT,-0.002841923252238366,-0.0005611390618929996,0.01,0.004,-0.0043086271651874885,-0.008710348718836252,-0.006843845421942769,0.0052660998685624865,-1.6458129550613947e-06,-7.225098541176083e-06,0.0016644976696170864,0.0011096651130780577,2.330718253596072e-05,0.0,0.5267257431247258
50,1.3243281403401859,0.8813980255952432,0.05408157128354012,1.1902546589771377,-0.0006682452704155489,NEXIT,-0.00261268417632144,-0.0006984778117574344,0.01,0.004,-0.004142374654931535,-0.008659285064203983,-0.006803723979017415,0.0050629023560274326,-1.4625538262673033e-06,-7.098772501770302e-06,0.00164249449661867,0.0010949963310791133,2.2628491927552652e-05,0.0,0.5250883133452372
51,1.3227752310990768,0.8808726935360318,0.053475441170876506,1.190683515567893,-0.0006061301126636109,NEXIT,-0.0023890911401676872,-0.0008082031680175263,0.01,0.004,-0.003989532630616725,-0.00859572358333405,-0.006753782815476753,0.004876095437420442,-1.3065613150740447e-06,-6.94359643311551e-06,0.0016224471385062034,0.0010816314256708024,2.202199425293162e-05,0.0,0.5235846270114404
52,1.3213629852239892,0.8802921282372014,0.052928179053938915,1.1910541889947168,-0.0005472621169375913,NEXIT,-0.002172685961673168,-0.0008931773828160096,0.01,0.004,-0.0038497707989169094,-0.008522177095044462,-0.006695996288963505,0.004705275420898445,-1.1740006915140607e-06,-6.766885252461647e-06,0.001604263235126295,0.0010695088234175302,2.14816379749449e-05,0.0,0.5222099353291111
53,1.3200859228068833,0.8796706578611976,0.052436437402181194,1.1913712615412766,-0.0004917416517577211,NEXIT,-0.0019647114109321118,-0.0009561082707750178,0.01,0.004,-0.003722668670159026,-0.008440897953208201,-0.006632134106092157,0.0045499283746388095,-1.0615168286766336e-06,-6.575111126848036e-06,0.0015878453716181673,0.0010585635810787784,2.100174623408488e-05,0.0,0.5209589002895381
54,1.3189379306590803,0.8790209547697269,0.051996823498043784,1.1916392131583606,-0.0004396139041374092,NEXIT,-0.001766141765850794,-0.0009995432176472046,0.01,0.004,-0.003607733052619495,-0.008353892100567669,-0.0065637723647317394,0.0044094515087571605,-9.661997405225044e-07,-6.373877793072595e-06,0.0015730931220654357,0.0010487287480436239,2.057702669360166e-05,0.0,0.5198257472320448
55,1.3179124181190405,0.8783541420631178,0.05160594388218023,1.1918623886535613,-0.00039087961586355136,NEXIT,-0.0015777116000613098,-0.001025865702475534,0.01,0.004,-0.003504413759317222,-0.008262933667761768,-0.00649230502466996,0.004283172372498827,-8.855434216922286e-07,-6.167937251717388e-06,0.0015599047049413134,0.0010399364699608758,2.0202567711122806e-05,0.0,0.5188043944246397
