step,lambda,risk,distance,gradient,steer,drift,rot,barrier,potential,state
23,1.374979572263961,0.00646817138230359,1.055370827087072,-0.3574334617579278,0.028594676940634223,0.014922381943412355,0.010759095882084126,1.7020350493131171e-13,0.7394158479586453,NEXIT
24,1.4373591099022514,0.009950191838629063,1.0455497690816271,-0.38540805783748855,0.030832644626999084,0.01488059769793645,0.016666295313354784,3.9657737662368734e-11,0.7193092467846457,NEXIT
25,1.5044371089765374,0.016284433893115343,1.0320466946132703,-0.43467675975450426,0.03477414078036034,0.014804586793282615,0.0174992715006429,1.0071614864339358e-08,0.6938411533851973,NEXIT
26,1.5713602220301333,0.027531600463765234,1.0133125264822387,-0.5145797495684779,0.04116637996547823,0.014669620794434818,0.011087112293682781,1.6288024175008956e-06,0.6621752342497885,NEXIT
27,1.6352451418129208,0.04612760953861281,0.9876155442947019,-0.6192493962709489,0.04953995170167591,0.014446468685536647,-0.00010150060442488975,0.0001061872038118916,0.6242947436770019,NEXIT
28,1.6885356949891965,0.07460322425110937,0.9528975199438957,-0.6378686675531098,0.05,0.014104761308986687,-0.010814208132710909,0.0024830707661135177,0.5828981261486647,NEXIT
29,1.7032705544552795,0.10990474587170695,0.912966208023175,-0.22098371913664705,0.017678697530931764,0.013681143049539515,-0.01662498111438844,0.01843753880176009,0.5570177042161826,NEXIT
30,1.6970451748708892,0.12197750577023153,0.8997289029836466,0.028797367038868593,-0.0023037893631094875,0.01353626993075722,-0.017457860152038197,0.029035171308518706,0.5555248494364987,NEXIT
31,1.7002363401035496,0.11674327561108855,0.9054484671849593,-0.0842919495336325,0.0067433559626906,0.013599080692666937,-0.01715127142269716,0.024093523376962887,0.5557034115103093,NEXIT
32,1.698699132148794,0.11940157855062733,0.9025401395644782,-0.027655291051753572,0.0022124232841402858,0.013567181057392472,-0.017316812296288384,0.026537147273189433,0.5555238816578916,NEXIT
33,1.6994660244207165,0.11811458262266356,0.9039472506506143,-0.055294106390324504,0.00442352851122596,0.013582625008528037,-0.017239261247831487,0.02533699692465786,0.5555877922938247,NEXIT
34,1.6990895099676964,0.11875513902281332,0.9032466949978414,-0.04158759992467509,0.003327007993974007,0.013574938331726238,-0.017278460778720507,0.02593032511085441,0.5555505971866002,NEXIT
35,1.699275883388819,0.1184402758385957,0.9035909967572106,-0.04833748619287315,0.0038669988954298518,0.01357871668993685,-0.017259342164244008,0.02563768444413858,0.5555675449611339,NEXIT
36,1.6991839946224918,0.11859604166195263,0.9034206544144868,-0.04500125184381254,0.003600100147505003,0.013576847500056569,-0.017268836413888843,0.025782216853810134,0.5555588382150857,NEXIT
37,1.6992293887149583,0.11851922139163136,0.9035046603232513,-0.04664734565790196,0.003731787652632157,0.013577769343300423,-0.01726416290346594,0.025710877980165515,0.5555630532416118,NEXIT
38,1.6992069852978986,0.11855716609184763,0.9034631655669498,-0.045834450859594256,0.0036667560687675405,0.013577314006897828,-0.017266473492725136,0.025746100921899107,0.5555609520657446,NEXIT
39,1.6992180474077212,0.11853843787104179,0.9034836457867627,-0.04623571191164633,0.003698856952931706,0.013577538745547499,-0.01726533358865646,0.025728712587243432,0.5555619844503932,NEXIT
40,1.6992125865771095,0.11854768496333327,0.903473533595907,-0.04603759918814232,0.0036830079350513856,0.01357742778044,-0.01726589654610307,0.025737297260187687,0.5555614735674373,NEXIT
41,1.6992152826417617,0.11854312004139567,0.9034785255714212,-0.046135402158642425,0.003690832172691394,0.013577482559503251,-0.017265618667542476,0.025733059141574015,0.5555617254918298,NEXIT
42,1.6992139516456168,0.1185453737682943,0.9034760610031092,-0.04608711692966061,0.003686969354372849,0.013577455514780469,-0.01726575586529831,0.025735151473494096,0.5555616010475796,NEXIT
43,1.699214608752009,0.11854426114130033,0.9034772777182907,-0.046110954687705874,0.00368887637501647,0.013577468866304395,-0.01726568813492874,0.025734118512198628,0.5555616624670824,NEXIT
44,1.6992142843463194,0.11854481043876387,0.9034766770329333,-0.04609918616305109,0.003687934893044087,0.013577462274734832,-0.017265721573468566,0.025734628476177416,0.555561632140604,NEXIT
45,1.6992144445027058,0.11854453925679773,0.9034769735844839,-0.04610499616020114,0.003688399692816091,0.013577465528918427,-0.01726570506534829,0.02573437671197969,0.5555616471114627,NEXIT
46,1.6992143654351135,0.11854467313700809,0.9034768271795177,-0.046102127816805005,0.0036881702253444004,0.013577463922355903,-0.01726571321529246,0.025734501005626534,0.555561639720239,NEXIT
47,1.6992144044700435,0.11854460704168251,0.9034768994581881,-0.0461035438897861,0.0036882835111828882,0.01357746471549981,-0.01726570919175278,0.02573443964304847,0.5555616433691543,NEXIT
48,1.699214385198874,0.11854463967232189,0.9034768637748891,-0.04610284478795412,0.00368822758303633,0.013577464323932137,-0.017265711178137993,0.025734469937164443,0.555561641567705,NEXIT
49,1.6992143947128653,0.11854462356288803,0.9034768813913916,-0.04610318992781526,0.0036882551942252206,0.013577464517245343,-0.017265710197479044,0.02573445498124722,0.5555616424570597,NEXIT
50,1.6992143900159065,0.11854463151596063,0.9034768726942937,-0.04610301953567042,0.0036882415628536336,0.013577464421808471,-0.01726571068162103,0.025734462364839106,0.555561642017993,NEXIT
51,1.699214392334754,0.11854462758961117,0.9034768769879608,-0.04610310365660286,0.003688248292528229,0.013577464468924666,-0.01726571044260517,0.025734458719636203,0.5555616422347556,NEXIT
52,1.6992143911899495,0.11854462952801559,0.9034768748682148,-0.046103062126712224,0.003688244970136978,0.013577464445663812,-0.017265710560605226,0.025734460519240988,0.5555616421277417,NEXIT
53,1.699214391755133,0.11854462857103415,0.9034768759147237,-0.04610308262981144,0.0036882466103849154,0.01357746445714759,-0.01726571050234914,0.02573445963078429,0.5555616421805738,NEXIT
54,1.6992143914761118,0.11854462904349043,0.9034768753980682,-0.04610307250763057,0.0036882458006104457,0.013577464451478113,-0.01726571053110984,0.02573446006941031,0.5555616421544908,NEXIT
55,1.6992143916138571,0.11854462881024697,0.9034768756531321,-0.046103077504744405,0.0036882462003795524,0.013577464454277037,-0.01726571051691118,0.025734459852868263,0.5555616421673676,NEXIT
56,1.699214391545858,0.11854462892539308,0.9034768755272139,-0.046103075037828845,0.0036882460030263076,0.013577464452895283,-0.01726571052392067,0.025734459959769307,0.5555616421610108,NEXIT
57,1.6992143915794211,0.11854462886855023,0.9034768755893745,-0.04610307625557697,0.0036882461004461575,0.013577464453577397,-0.01726571052046038,0.02573445990699671,0.555561642164149,NEXIT
58,1.6992143915628448,0.11854462889660683,0.903476875558693,-0.0461030756543912,0.003688246052351296,0.013577464453240717,-0.017265710522168326,0.025734459933044313,0.5555616421625998,NEXIT
59,1.699214391571046,0.11854462888275011,0.903476875573846,-0.04610307595148688,0.0036882460761189506,0.013577464453406997,-0.017265710521324782,0.025734459920179822,0.5555616421633648,NEXIT
60,1.699214391566988,0.1185446288896058,0.903476875566349,-0.046103075804493354,0.0036882460643594683,0.01357746445332473,-0.017265710521742132,0.025734459926544596,0.5555616421629863,NEXIT
61,1.6992143915690037,0.1185446288862135,0.9034768755700587,-0.046103075877323985,0.0036882460701859188,0.013577464453365436,-0.01726571052153562,0.025734459923395216,0.5555616421631737,NEXIT
62,1.6992143915679967,0.11854462888789852,0.903476875568216,-0.0461030758410752,0.0036882460672860162,0.013577464453345216,-0.017265710521638198,0.02573445992495957,0.5555616421630806,NEXIT
63,1.699214391568481,0.11854462888705675,0.9034768755691366,-0.046103075858949794,0.0036882460687159835,0.013577464453355318,-0.017265710521586965,0.025734459924178082,0.5555616421631272,NEXIT
64,1.699214391568243,0.1185446288874616,0.9034768755686938,-0.046103075850290054,0.0036882460680232043,0.01357746445335046,-0.017265710521611605,0.025734459924553917,0.5555616421631048,NEXIT
65,1.6992143915683748,0.1185446288872626,0.9034768755689115,-0.046103075854730946,0.0036882460683784757,0.01357746445335285,-0.017265710521599493,0.025734459924369187,0.5555616421631159,NEXIT
66,1.6992143915683164,0.11854462888737285,0.9034768755687909,-0.04610307585245499,0.003688246068196399,0.013577464453351526,-0.0172657105216062,0.025734459924471553,0.5555616421631097,NEXIT
67,1.6992143915683373,0.11854462888732406,0.9034768755688443,-0.04610307585339868,0.0036882460682718943,0.013577464453352112,-0.017265710521603236,0.025734459924426228,0.5555616421631124,NEXIT
68,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
69,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
70,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
71,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
72,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
73,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
74,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
75,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
76,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
77,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
78,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
79,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
80,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
81,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
82,1.699214391568326,0.11854462888733389,0.9034768755688335,-0.04610307585312112,0.00368824606824969,0.013577464453351992,-0.01726571052160383,0.02573445992443536,0.5555616421631118,NEXIT
83,1.6992143915683373,0.11854462888733204,0.9034768755688356,-0.046103075853287656,0.0036882460682630125,0.013577464453352015,-0.017265710521603722,0.02573445992443363,0.5555616421631121,NEXIT
84,1.6992143915683258,0.11854462888734148,0.9034768755688252,-0.0461030758530101,0.003688246068240808,0.013577464453351902,-0.01726571052160428,0.02573445992444242,0.5555616421631114,NEXIT
85,1.6992143915683282,0.11854462888733185,0.9034768755688357,-0.046103075853176634,0.0036882460682541307,0.013577464453352018,-0.017265710521603705,0.02573445992443346,0.5555616421631119,NEXIT
