step,lambda,risk,distance,steer,state
0,0.5422736263138818,9.16600371985333e-06,1.1599912922964664,0.02727362631388175,NEXIT
1,0.5843561706427065,1.2854407054533015e-05,1.1549149531556324,0.02708254432882473,NEXIT
2,0.6262499171347581,1.799946298853681e-05,1.149860160033036,0.026893746492051562,NEXIT
3,0.6679576585117837,2.516576977710265e-05,1.1448261024625408,0.026707741377025584,NEXIT
4,0.7094828816658917,3.5132853596163644e-05,1.1398117047676697,0.02652522315410799,NEXIT
5,0.7508300191282065,4.8975718495111705e-05,1.1348155272675227,0.026347137462314763,NEXIT
6,0.7920047894647931,6.817531392071244e-05,1.1298356311563906,0.02617477033658666,NEXIT
7,0.8330146577317672,9.477011330672333e-05,1.1248693936565837,0.026009868266974046,NEXIT
8,0.8738694581261898,0.0001315643712155808,1.1199132549195332,0.02585480039442256,NEXIT
9,0.9145822360799556,0.0001824149052040372,1.1149623708649135,0.02571277795376581,NEXIT
10,0.9551703879988339,0.00025262742812603284,1.1100101356136858,0.02558815191887831,NEXIT
11,0.9956572062857334,0.00034950717601228226,1.1050475216229283,0.02548681828689947,NEXIT
12,1.0360739793079599,0.0004831296102681437,1.1000621621159572,0.025416773022226558,NEXIT
13,1.0764628571106032,0.0006674301492284546,1.0950370638412779,0.025388877802643428,NEXIT
14,1.116880784616143,0.000921765842074012,1.0899487795967573,0.02541792750553995,NEXIT
15,1.157404942582795,0.0012731925336633627,1.0847647729390828,0.025524157966652083,NEXIT
16,1.1981403529395747,0.001759858504714425,1.079439541310586,0.02573541035677973,NEXIT
17,1.2392306512384232,0.0024361987407617034,1.0739087688435276,0.02609029829884868,NEXIT
18,1.2808735945617393,0.0033811423223442717,1.0680802366451623,0.02664294332331618,NEXIT
19,1.3233438109068616,0.004711570681009894,1.061819176505632,0.027470216345122367,NEXIT
20,1.367026850231763,0.0066053406668775535,1.054923669057643,0.02868303932490157,NEXIT
21,1.4124710824724858,0.009342590549551767,1.0470813169501143,0.03044423224072279,NEXIT
22,1.4604674166748188,0.013383862697468343,1.037788800540707,0.032996334202333166,NEXIT
23,1.5121686898784064,0.01952654660494564,1.0261936907243234,0.036701273203587625,NEXIT
24,1.5692445471680203,0.029236910562664226,1.0107646921800604,0.04207585728961405,NEXIT
25,1.6339474100012232,0.04538858924695189,0.9885714945552333,0.04970286283320302,NEXIT
26,1.6989474100012232,0.07388964397843857,0.9537311490203366,0.05,NEXIT
27,1.7639474100012231,0.11832163157945716,0.9037207607993689,0.05,NEXIT
28,1.818947410001223,0.18415888703848746,0.8333753681132903,0.05,ENGAGE
29,1.8553016585742197,0.2595284812253252,0.7551742536357944,0.031354248572996735,ENGAGE
30,1.849631561521087,0.31917044209601075,0.6941518809798835,-0.00067009705313259,LOCK
31,1.849691127851339,0.30939537167464254,0.7041186095265592,0.005059566330252174,LOCK
32,1.8496918586071875,0.3094972011648091,0.7040147235512707,0.005000730755848615,LOCK
33,1.8496918673913003,0.309498450517164,0.7040134489758317,0.005000008784112886,LOCK
34,1.8496918674968663,0.3094984655351271,0.7040134336546733,0.005000000105566116,LOCK
35,1.8496918674981357,0.30949846571561046,0.7040134334705462,0.0050000000012695445,LOCK
36,1.849691867498155,0.3094984657177808,0.704013433468332,0.005000000000019433,LOCK
37,1.8496918674981544,0.3094984657178138,0.7040134334682984,0.004999999999999449,LOCK
38,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
39,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
40,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
41,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
42,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
43,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
44,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
45,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
46,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
47,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
48,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
49,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
50,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
51,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
52,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
53,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
54,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
55,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
56,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
57,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
58,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
59,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
60,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
61,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
62,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
63,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
64,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
65,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
66,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
67,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
68,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
69,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
70,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
71,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
72,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
73,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
74,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
75,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
76,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
77,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
78,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
79,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
80,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
81,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
82,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
83,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
84,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
85,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
86,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
87,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
88,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
89,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
90,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
91,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
92,1.84969186749816,0.3094984657178157,0.7040134334682965,0.00500000000000389,LOCK
93,1.8496918674981526,0.30949846571782214,0.7040134334682898,0.004999999999992788,LOCK
94,1.8496918674981586,0.30949846571780965,0.7040134334683027,0.005000000000006111,LOCK
95,1.8496918674981513,0.3094984657178199,0.7040134334682921,0.004999999999992788,LOCK
96,1.8496918674981462,0.30949846571780737,0.7040134334683049,0.0049999999999950084,LOCK
97,1.8496918674981544,0.30949846571779865,0.7040134334683139,0.005000000000008331,LOCK
98,1.8496918674981582,0.30949846571781264,0.7040134334682996,0.00500000000000389,LOCK
99,1.8496918674981508,0.30949846571781914,0.7040134334682929,0.004999999999992788,LOCK
100,1.849691867498159,0.3094984657178066,0.7040134334683058,0.005000000000008331,LOCK
101,1.8496918674981562,0.30949846571782064,0.7040134334682915,0.004999999999997229,LOCK
