step,lambda,psi,risk,distance,risk_grad,field_lambda,field_psi,target_lambda,target_psi,w_field,w_target,dlambda,dpsi,potential
0,0.6566831653869276,0.49547888603664153,0.00138592583863808,1.5269380000000001,0.0,0.22820000000000001,0.007200000000000003,0.44000000000000006,0.39999999999999997,0.9896593917494407,0.44111580825055935,0.42601758548293156,0.19710492242578614,0.1324373824191752
1,0.7233462437695918,0.5277162027406472,0.00198408321770188,1.4970397061617193,0.0005981573790638001,0.21049435276632245,0.008424863118960851,0.3633168346130724,0.36452111396335846,0.9852295452146735,0.4335863372500143,0.3703504354592453,0.179096203911143,0.09920798650335255
2,0.7814777377524359,0.5571404333650454,0.0026909744310735398,1.4724690601506727,0.0007068912133716596,0.1949488938200023,0.009266569500759712,0.29665375623040824,0.33228379725935275,0.98001999130668,0.4289676327535891,0.32295274434913396,0.16346794791332295,0.07430839334500414
3,0.8322666560499068,0.5840803633239556,0.0034865219465983355,1.452194299634682,0.0007955475155247958,0.18124855953440655,0.009790527059311984,0.23852226224756412,0.3028595666349546,0.9741900076917895,0.4266877121620833,0.28216065720817135,0.14966627754950174,0.05568772716706216
4,0.8766823857519198,0.6087916015330629,0.004344307136098279,1.43542471611122,0.0008577851894999433,0.16914316194538165,0.010051140912658718,0.18773334395009322,0.27591963667604436,0.9679427814540713,0.4262271049904167,0.2467540539000722,0.13728465671726242,0.041822799007042485
5,0.91553129562981,0.6314766373385118,0.005234783246843583,1.4215416137702364,0.0008904761107453038,0.15843009439601752,0.010094758472382734,0.1433176142480802,0.2512083984669371,0.9614998457773121,0.4271167997307825,0.21582727709938945,0.1260279766969383,0.03156831873745011
6,0.9494969381565685,0.6523002093957512,0.006128462136161366,1.4100516006026078,0.0008936788893177837,0.14894193667939792,0.009961554632521021,0.10446870437019007,0.2285233626614882,0.9550768543108747,0.4289437859301684,0.18869801403754763,0.11568651142910781,0.024054942373173762
7,0.9791684102908244,0.671400958266325,0.0069985962818004946,1.4005545839758216,0.0008701341456391282,0.14053752809828501,0.009686690930770995,0.07050306184343147,0.2076997906042488,0.9488643105389789,0.4313575230513498,0.16484151185697699,0.10611527150318793,0.018618408630519476
8,1.0050601502864154,0.6888999931911428,0.007823058111179188,1.3927216135257732,0.0008244618293786936,0.13309558073835587,0.009301003603562208,0.040831589709175664,0.18859904173367503,0.9430151451871095,0.43407350022319985,0.14384299997550593,0.09721686069343255,0.014749205719727734
9,1.0276256503845076,0.7049068935236117,0.008585321795088618,1.3862793540453935,0.00076226368390943,0.12651017369741951,0.008831414615194544,0.01493984971358464,0.17110000680885717,0.9376393300472569,0.43687241157090057,0.12536388943384577,0.08892722406927178,0.01205601111014153
10,1.0472669858714072,0.7195236432381112,0.009274627623512553,1.380999009226354,0.0006893058284239348,0.12068762464319134,0.008301205570827825,-0.007625650384507576,0.1550931064763883,0.9328044366028329,0.43959516708770874,0.10911853048277512,0.08120416508055293,0.010238547663802482
11,1.0643415868328732,0.7328469835436121,0.00988552193328774,1.3766882153497821,0.0006108943097751871,0.11554434178695447,0.0077302458103288615,-0.02726698587140719,0.14047635676188874,0.9285403754837348,0.4421349106561781,0.0948588942303669,0.07401855725278282,0.009067032958407838
12,1.0791672769382412,0.7449696314637854,0.010417007683767123,1.3731849113090138,0.0005314857504793834,0.1110053461802855,0.007135225447980658,-0.04434158683287315,0.12715301645638788,0.924846447799775,0.4444275167238306,0.08236494502982279,0.06734804400096256,0.008366376172931941
13,1.092026272355082,0.7559807483627011,0.010871525244069077,1.3703525337265856,0.0004545175603019539,0.10700323069010019,0.006529913890236062,-0.0591672769382412,0.11503036853621462,0.9216991231429659,0.4464418903476684,0.071438863426893,0.06117287166064324,0.008003894310276073
14,1.1031685768856503,0.7659659628302635,0.011253933427752182,1.3680761219502522,0.0003824081836831042,0.10347738865618812,0.005925444773925209,-0.07202627235508197,0.10401925163729886,0.9190594207098552,0.44817102807024567,0.061901691836490344,0.05547341370867977,0.00787970616381185
15,1.1128150241224066,0.7750071708686372,0.01157060051062342,1.3662590745932985,0.00031666708287123903,0.10037340024925395,0.005330617866866372,-0.08316857688565027,0.09403403716973646,0.9168792417075621,0.44962438812975736,0.05359137353753536,0.05022893354652044,0.007919204853297973
16,1.1211600942903002,0.7831822634795872,0.011828660210957204,1.364820398823072,0.00025805970033378374,0.09764250686241671,0.004752204832034648,-0.09281502412240661,0.08499282913136275,0.9151063860280726,0.4508217735011563,0.04636150093274134,0.045417181171944085,0.008067164660470989
17,1.1283745589201986,0.7905648730918083,0.012035446405382582,1.3636923535914467,0.0002067861944253773,0.09524113404499138,0.004195246329393074,-0.10116009429030015,0.0768177365204128,0.9136882507498554,0.45178869068672334,0.04008035905499051,0.041014497845672925,0.008283140934952133
18,1.1346079665208095,0.7972241870283784,0.01219809417593775,1.3628184223139663,0.00016264777055516842,0.09313044335426535,0.003663330608128546,-0.10837455892019854,0.06943512690819165,0.9125743601050935,0.4525530088204931,0.03463004222561626,0.03699618853650015,0.008537894342141503
19,1.13999096479678,0.80322484688855,0.012323281360673217,1.3621515692299455,0.00012518718473546707,0.09127590545313266,0.003158847062332326,-0.11460796652080951,0.0627758129716216,0.911717942602343,0.4531426850896353,0.029905545977614082,0.0333369992231758,0.008810624821845352
20,1.1446374503881265,0.8086269345335702,0.01241708046367213,1.3616527436178127,9.379910299891353e-05,0.08964689317883909,0.002683211329542217,-0.11999096479678006,0.05677515311144998,0.9110767807162915,0.4535843167308336,0.02581380884081374,0.03001159802788948,0.009086842947335385
21,1.1486465391655964,0.8134860353312132,0.012484892032473664,1.3612896014450298,6.781156880153287e-05,0.08821629613144452,0.002237061009560169,-0.12463745038812646,0.051373065466429835,0.910613536932613,0.4539023036453989,0.022272715430388612,0.026995004431350243,0.00935674047424724
22,1.152104354792854,0.8178533647875397,0.012531434670471976,1.3610354173407284,4.654263799831228e-05,0.08696015906375919,0.0018204228719095761,-0.12864653916559643,0.04651396466878677,0.9102957247336145,0.45411844220267694,0.019210086818097993,0.024262941424036084,0.009613949707484222
23,1.1550856382991357,0.8217759436073544,0.012560771864914982,1.3608681622651242,2.9337194443005907e-05,0.08585734601065692,0.001432853565350523,-0.13210435479285398,0.042146635212460315,0.9100954553468761,0.45425180955917366,0.016562686146008917,0.021792104554526022,0.00985460408089653
24,1.1576551856967745,0.8252968070884167,0.01257636069577893,1.360769724493531,1.5588830863947495e-05,0.08488923130934659,0.0010735564697455183,-0.13508563829913567,0.03822405639264559,0.9099890566359397,0.45431883316147287,0.014275263320215843,0.01956035267256801,0.010076630873736017
25,1.1598691238296235,0.828455236572582,0.01258111171999552,1.3607252537409287,4.751024216591293e-06,0.08403941779485476,0.0007414775785630455,-0.13765518569677448,0.0347031929115833,0.909956631863297,0.4543334696330745,0.01229965629360589,0.01754683046758544,0.010279221950279154
26,1.1617760366349887,0.8312870028283078,0.012577452722817472,1.360722610453203,-3.658997178048601e-06,0.08329348168768375,0.0004353832930529995,-0.13986912382962347,0.031544763427417966,0.9099816036715506,0.4543074405097307,0.010593960029806915,0.0157320347540319,0.010462440385253634
27,1.163417955005146,0.833824613365697,0.012567391611999717,1.3607519044416256,-1.0061110817754723e-05,0.08263874309458817,0.00015392284461974819,-0.14177603663498872,0.02871299717169218,0.91005027195549,0.4542504898211603,0.009121768723096318,0.014097836318829129,0.010626930341656661
28,1.1648312236661413,0.8360975576040237,0.012552575610390788,1.360805109082325,-1.4816001608929097e-05,0.08206406062884705,-0.00010432218804837419,-0.14341795500514598,0.026175386634302966,0.9101514023713937,0.45417064126153633,0.007851492561085029,0.012627467990704137,0.010773705050562408
29,1.166047258169784,0.8381325454471599,0.012534345216739831,1.360875739196654,-1.8230393650956606e-05,0.08155964840365194,-0.00034079908669106505,-0.14483122366614132,0.023902442395976276,0.9102758540168132,0.4540744416618484,0.0067557472424593906,0.011305488017423076,0.010903993593766039
30,1.167093204407168,0.8399537361618895,0.012513782287174816,1.3609585824430026,-2.056292956501525e-05,0.08111691353025129,-0.000556954036265005,-0.14604725816978403,0.021867454552840115,0.9104162493795913,0.4539671835976098,0.005810812429910902,0.010117726192942123,0.011019131738318021
31,1.1679925121469659,0.8415829555181921,0.012491752156270661,1.3610494755737215,-2.2030130904154843e-05,0.08072831222890191,-0.0007542093892571895,-0.147093204407168,0.02004626383811048,0.9105666862259202,0.45385310400356843,0.004996154109988311,0.009051218646125443,0.011120485589507362
32,1.1687654330893515,0.8430398999744746,0.012468940059273553,1.3611451182433891,-2.281209699710879e-05,0.08038722270654501,-0.0009339467896837938,-0.14799251214696585,0.01841704448180792,0.910722489070515,0.4537355582268407,0.004294005235476576,0.008094135868235973,0.011209399537569076
33,1.1694294528843685,0.8443423273138958,0.012445882306295748,1.361242918206498,-2.3057752977805046e-05,0.08008783304672451,-0.0010974950178742858,-0.14876543308935153,0.016960100025525393,0.9108799967956582,0.453617170486941,0.003688998861205925,0.007235707441229135,0.011287162051633437
34,1.1699996655436813,0.8455062335983312,0.0124229927468694,1.3613408627288204,-2.2889559426347156e-05,0.07982504247628514,-0.0012461216106301534,-0.14942945288436849,0.015657672686104185,0.9110363825324034,0.4534999625591248,0.0031678481072929133,0.006466146024641058,0.011354984463861193
35,1.1704890977092348,0.8465460166379394,0.01240058508600147,1.3614374118748576,-2.2407660867930154e-05,0.07959437450632093,-0.0013810274768016693,-0.14999966554368127,0.014493766401668773,0.911189501855701,0.4533854628942421,0.002719067586408259,0.005776572442267297,0.01141398909882311
36,1.1709089893496145,0.8474746264053646,0.012378891596359926,1.3615314100420375,-2.1693489641544036e-05,0.0793919005821644,-0.0015033438682391567,-0.1504890977092348,0.013453983362060606,0.9113377655168596,0.45327479849995544,0.0023327313354431084,0.005158943152362323,0.011465204025103625
37,1.1712690366432512,0.848303702977854,0.012358078732693215,1.3616220127082899,-2.0812863666711326e-05,0.07921417301247928,-0.001614131183393026,-0.1509089893496145,0.012525373594635347,0.9114800332353258,0.4531687718479902,0.0020002627424260053,0.004605980958273708,0.011509562405503769
38,1.1715776020789097,0.8490437026868519,0.012338260105360039,1.3617086258594897,-1.9818627333176297e-05,0.07905816607665084,-0.0017143791785640128,-0.1512690366432512,0.01169629702214603,0.9116155254280885,0.4530679249157074,0.0017142524203245073,0.004111109494433244,0.011547904951403192
39,1.1718418961558164,0.8497040132078402,0.012319507217098647,1.3617908559816023,-1.8752888261391876e-05,0.07892122433024254,-0.0018050082427944238,-0.1515776020789097,0.010956297313148067,0.9117437501257079,0.4529725922669331,0.0014683004272588313,0.003668391783267931,0.01158098438610902
40,1.1720681344935135,0.8502930583448668,0.012301858315243294,1.3618684688519136,-1.7648901855352866e-05,0.07880101723909064,-0.001886871459230945,-0.15184189615581634,0.010295986792159817,0.9118644426830972,0.45288294485766833,0.0012568796538735966,0.00327247298348136,0.01160947112231674
41,1.1722616736589644,0.8508183932632634,0.012285325662958205,1.361941355655547,-1.6532652285088448e-05,0.07869549937323221,-0.0019607572307624582,-0.15206813449351353,0.009706941655133194,0.9119775162264383,0.4527990260357806,0.0010752175858385962,0.0029185273244254333,0.011633959583848526
42,1.1724271285789054,0.8512867909072257,0.012269901488939111,1.3620095051969605,-1.5424174019094267e-05,0.07860287548242743,-0.002027392292815334,-0.15226167365896437,0.009181606736736625,0.9120830210781286,0.4527207810006557,0.0009191939996729039,0.0026022091331239826,0.011654974769752281
43,1.1725684740222642,0.851704320311348,0.012255562835883046,1.3620729811792487,-1.4338653056064979e-05,0.0785215698560022,-0.002087444973054615,-0.1524271285789054,0.008713209092774288,0.9121811116673417,0.4526480808043578,0.0007852524631039703,0.0023196078006797226,0.0116729787834895
44,1.172689132304187,0.8520764174806493,0.012242275493836543,1.3621319036935682,-1.3287342046502948e-05,0.07845019944174417,-0.0021415285878118983,-0.15256847402226414,0.008295679688651969,0.9122720196652808,0.45258074181214647,0.0006703237884609272,0.002067206496118255,0.011688377141873244
45,1.1727920490738788,0.8524079494749335,0.012229997175016176,1.362186434202459,-1.2278318820366924e-05,0.0783875502623749,-0.0021902048895270487,-0.15268913230418701,0.007923582519350658,0.9123560322837855,0.4525185413971982,0.0005717598316208727,0.0018418444126899831,0.011701524745684873
46,1.1728797587975632,0.8527032722925436,0.012218680061439871,1.362236763418961,-1.1317113576304882e-05,0.07833255672445913,-0.0022339874993402564,-0.15279204907387878,0.007592050525066507,0.912433474846633,0.45246123052095144,0.00048727624269185275,0.0016406823200561835,0.011712731442618935
47,1.172954441330546,0.8529662831071818,0.012208272835236273,1.362283101582078,-1.0407226203597991e-05,0.07828428346425882,-0.0022733452750262773,-0.15287975879756321,0.007296727707456374,0.9125046968879499,0.4524085437448814,0.00041490296101564204,0.0014611711924344066,0.011722267148033864
48,1.1730179707842046,0.8532004673705311,0.012198722283341788,1.3623256707116347,-9.550551894485504e-06,0.07824190941871173,-0.002308705577399945,-0.15295444133054592,0.007033716892818176,0.9125700611548769,0.452360207129777,0.00035294140921512257,0.0013010236852736695,0.011730366513447443
49,1.1730719577309252,0.8534089412536513,0.012189974552995538,1.362364698494518,-8.747730346250412e-06,0.07820471384808475,-0.0023404574087065606,-0.15301797078420454,0.006799532629468863,0.912629934995084,0.45231594440272316,0.0002999274817814708,0.001158188239556294,0.011737233149487984
50,1.1731177856491535,0.8535944898620199,0.012181976121592051,1.3624004135120182,-7.99843140348623e-06,0.07817206407053182,-0.0023689544048009284,-0.1530719577309252,0.006591058746348688,0.9126846836966953,0.45227548170811205,0.00025459954571285456,0.0010308256020478608,0.011743043421113935
51,1.1731566423889017,0.8537596016229521,0.012174674533681512,1.3624330415662644,-7.301587910539184e-06,0.07814340469833018,-0.0023945176694993627,-0.15311778564915346,0.006405510137980075,0.9127346654211248,0.45223855120538103,0.0002158707763788223,0.0009172875607343011,0.011747949839873092
52,1.1731895473326797,0.8539064992101351,0.012168018948897614,1.36246280290419,-6.655584783897897e-06,0.07811824819147296,-0.0024174384446711654,-0.1531566423889017,0.006240398377047929,0.912780227430404,0.4522048937312721,0.00018280524321032457,0.0008160977065725418,0.011752084081933692
53,1.1732173748356807,0.8540371673382354,0.012161960537065817,1.3624899101713337,-6.058411831797589e-06,0.0780961665670028,-0.0024379806136804304,-0.15318954733267964,0.006093500789864925,0.9128217033616631,0.45217426070687045,0.00015459723889491538,0.0007259340450018275,0.011755559662444837
54,1.173240874450224,0.8541533777309824,0.012156452750463485,1.3625145669561238,-5.507786602331963e-06,0.07807678412237158,-0.0024563830389063967,-0.15321737483568065,0.005962832661764561,0.9128594113440966,0.45214641543835293,0.0001305534141304021,0.000645613293038982,0.011758474297112952
55,1.1732606883712635,0.8542567115387723,0.012151451497966557,1.3625369668090654,-5.00125249692715e-06,0.0780597710485516,-0.0024728617364370136,-0.15324087445022405,0.005846622269017554,0.912893652789358,0.4521211339342682,0.00011007733910829362,0.000574076709943262,0.011760911981191207
56,1.1732773664807856,0.854348579456588,0.01214691524145388,1.3625572926411114,-4.536256512676848e-06,0.07804483782390761,-0.002487611892789834,-0.1532606883712635,0.005743288461227736,0.9129247117160311,0.45209820534041356,9.265616401225862e-05,0.0005103773211986039,0.011762944814721779
57,1.1732913793178865,0.8544302397698132,0.012142805031209162,1.3625757164221584,-4.110210244719081e-06,0.0780317302932339,-0.0025008097297833723,-0.1532773664807856,0.005651420543411945,0.9129528544935722,0.4520774320752912,7.784909500525676e-05,0.0004536684068069014,0.011764634601100965
58,1.173303129257158,0.854502814534209,0.012139084494038947,1.3625923991145197,-3.7205371702150186e-06,0.07802022534810096,-0.0025126142245603233,-0.1532913793178865,0.005569760230186738,0.9129783299117274,0.4520586297340805,6.527744039762362e-05,0.0004031931355318941,0.011766034244041108
59,1.173312960139811,0.854567304076823,0.012135719785313812,1.362607490787864,-3.364708725134627e-06,0.07801012713494856,-0.0025231686923291967,-0.15330312925715806,0.005497185465791032,0.9130013694985757,0.45204162681656995,5.461601473827349e-05,0.0003582752367449108,0.011767188965912471
60,1.1733211655688993,0.8546245999867816,0.012132679514055516,1.362621130871831,-3.0402712582963676e-06,0.07800126372638351,-0.0025326022397086922,-0.15331296013981088,0.005432695923176967,0.9130221880245958,0.45202626432413673,4.558571715844971e-05,0.0003183106108811285,0.01176813736835397
61,1.1733279960514054,0.8546754967486608,0.012129934648462402,1.3626334485106277,-2.7448655931135157e-06,0.07799348419905214,-0.002541031096684113,-0.1533211655688993,0.0053754000132183455,0.9130409841419905,0.45201239526226056,3.794712503357202e-05,0.00028275978821744015,0.011768912354006648
62,1.1733336651451822,0.8547207021563354,0.012127458407833242,1.362644562990672,-2.4762406291602146e-06,0.07798665606839433,-0.002548559835159241,-0.15332799605140535,0.005324503251339152,0.9130579411183085,0.4519998840779603,3.149496542734567e-05,0.00025114115374791953,0.011769541926288494
63,1.1733383547473373,0.8547608466317436,0.012125226145663734,1.3626545842179476,-2.2322621695079065e-06,0.0779806630366703,-0.0025552824819472606,-0.1533336651451822,0.005279297843664543,0.9130732276315253,0.4519886060556538,2.6053345305364004e-05,0.00022302486337854655,0.01177004988231818
64,1.173342219642093,0.854796491560777,0.012123215227711842,1.3626636132264025,-2.0109179518917886e-06,0.0779754030159875,-0.002561283533818605,-0.15333835474733726,0.005239153368256422,0.9130869986004574,0.4519784466901036,2.1471637532166285e-05,0.00019802738351883673,0.011770456412420485
65,1.173345391410131,0.8548281367474172,0.012121404908021275,1.3626717427025783,-1.8103196905670804e-06,0.07797078639273777,-0.00256663888193593,-0.15334221964209305,0.005203508439223015,0.9130993960299154,0.45196930105111593,1.7620933544992487e-05,0.00017580659244553363,0.011770778618114852
66,1.1733479817875399,0.8548562270771823,0.012119776205230047,1.3626790575148233,-1.6287027912280372e-06,0.07796673450396052,-0.002571416652674947,-0.15334539141013104,0.005171863252582787,0.9131105498545511,0.45196107315137835,1.4390985604881973e-05,0.0001560573875841793,0.011771030959096582
67,1.1733500855504868,0.8548811584718464,0.012118311780947895,1.362685635238089,-1.4644242821524461e-06,0.07796317829975277,-0.0025756779714705778,-0.15334798178753983,0.0051437729228176465,0.9131205787690869,0.45195367532614866,1.1687571927543328e-05,0.0001385077481337398,0.011771225638465983
68,1.1733517829913465,0.854903283209157,0.012116995821543033,1.3626915466674334,-1.3159594048611084e-06,0.07796005716900926,-0.0025794776559516057,-0.1533500855504868,0.0051188415281535615,0.9131295910356615,0.45194702763131195,9.430226997859253e-06,0.00012291520728065534,0.011771372934335536
69,1.1733531420430363,0.8549229146738331,0.012115813924318593,1.3626968563151283,-1.1818972244399817e-06,0.07795731790855037,-0.0025828648442439255,-0.15335178299134644,0.005096716790843003,0.913137685261505,0.45194105726454636,7.550287165708144e-06,0.00010906369264490417,0.011771481484940421
70,1.1733542201005427,0.8549403315994016,0.012114752988767298,1.3627016228876725,-1.0609355512950641e-06,0.07795491381813183,-0.0025858835639400134,-0.1533531420430363,0.005077085326166908,0.9131449511421638,0.4519356980129053,5.9892083686171466e-06,9.67606976028354e-05,0.01177155853348485
71,1.1733550655819032,0.8549557818543606,0.012113801113358968,1.3627058997401889,-9.518754083299302e-07,0.07795280390596813,-0.0025885732468554114,-0.15335422010054267,0.0050596684005983494,0.9131514701671078,0.4519308897289677,4.697118669001396e-06,8.583474977213394e-05,0.011771610138165306
