from,LEFT_ATTRACTOR,TRANSITION,RIGHT_ATTRACTOR,ESCAPE
LEFT_ATTRACTOR,0.755102,0.244898,0.000000,0.000000
TRANSITION,0.406250,0.187500,0.375000,0.031250
RIGHT_ATTRACTOR,0.000000,0.705882,0.294118,0.000000
ESCAPE,0.000000,1.000000,0.000000,0.000000
