x,y,z
0.7073148682830472,-8.843023099121769,31.982494293411943
0.6123169878590304,-8.836781105286759,31.89149604166033
0.5183285684117851,-8.830122403204513,31.801577975776873
0.4253436028141959,-8.823068781431367,31.712727320266772
0.33335593010652176,-8.815641409444957,31.62493128616983
0.24235924288364594,-8.807860849407641,31.538177082644815
0.15234709480535097,-8.79974706997633,31.452451928042706
0.06331290782862886,-8.791319459531023,31.367743060327985
-0.024750020469265943,-8.782596841293879,31.284037746780694
-0.11184851043416422,-8.773597483668757,31.201323293490084
-0.19798949366809238,-8.764339113228102,31.119587054118576
-0.2831800065863399,-8.754838927301966,31.03881643818154
-0.3674271840824709,-8.74511360725557,30.958998918571755
-0.4507382534232001,-8.735179331157887,30.880122038726434
-0.5331205285500626,-8.72505178410181,30.80217341990783
-0.6145814043176486,-8.714746170644782,30.725140767454942
-0.6951283509722238,-8.704277226440189,30.649011876766956
-0.77476890868556,-8.69365923110048,30.573774638288192
-0.8535106824700349,-8.682906018205223,30.499417043230864
-0.9313613371617335,-8.672030986280529,30.425927188442728
-1.0083285925413954,-8.66104710983483,30.353293280821433
-1.0844202186081482,-8.64996695041257,30.281503641218514
-1.1596440309878053,-8.638802667807276,30.210546707805722
-1.2340078865868507,-8.627566029067244,30.140411040345935
-1.3075196793087094,-8.616268418993002,30.071085323153213
-1.3801873359122268,-8.604920849987273,30.002558368125914
-1.4520188121241926,-8.593533972592018,29.934819116309203
-1.523022088606174,-8.582118084370661,29.86785664153064
-1.5932051674137822,-8.570683139054003,29.801660151986162
-1.6625760683349406,-8.559238755749982,29.736218992354836
-1.7311428254374306,-8.547794227918954,29.671522645386496
-1.798913483749563,-8.536358532589993,29.607560732836568
-1.8658960960250572,-8.524940338487557,29.54432301715762
-1.932098719642187,-8.513548014420403,29.481799402515676
-1.9975294136110233,-8.502189637200193,29.41997993590725
-2.0621962357097883,-8.490872999754952,29.358854807672436
-2.126107239704469,-8.479605618921182,29.298414352054294
